ConvThread,MessageID,Date,Message,UserID
0,711188,2024-01-09,"Ага, оце думаєш, коли вже в ту європу вступимо, щоб десь вбить 77 європейців і на відпочинок (сарказм)",442327997
1,710675,2024-01-09,"Ага головне під кожним дописом про мобілізацію писати ""мене не можна в мене рожатор!""",620798133
1,710680,2024-01-09,Фу бути таким як ви. Тоді то був очевидний сарказм .,467660602
1,710682,2024-01-09,"Канєшна сарказм, бо для штурму посадок реально потрібен хуй.",620798133
2,710680,2024-01-09,Фу бути таким як ви. Тоді то був очевидний сарказм .,467660602
3,709822,2024-01-07,"я от як раз за всі ці роки зрозумів сарказм, коли те що я понаїхав і забрав у корінних можливість хату знімати - бо їм надо. а щодо матів - це експрессія, хто не зрозумів, той (немає сенсу приховувати за евфемізмами коли ти посилаєш)",584390459
3,709824,2024-01-07,"Я вам відкрию секрет, - я теж понаїхавша, просто вже дуже дуже давно. Київ - це взагалі таке місто, де є люди з усіх усюд, ніхто за це навіть не париться, тим більше за хати. Загалом, цей етап відчуття себе чужим, з часом мине))
Тут половина понаїхавших, звідти й ті приколи про карєнних 🤟",645340480
3,709833,2024-01-07,"7+ років, це не сарказм",584390459
4,709802,2024-01-07,"а й так, розкажи мені як хуйово жить в своїй хаті - мразото",584390459
4,709810,2024-01-07,"Приберіть особисті образи, або тегну адміна. Якщо ви не розумієте елементарного сарказму, то ніяка розбомблена хата не дає вам права сходу обкладати людей хуями",5286675988
4,709822,2024-01-07,"я от як раз за всі ці роки зрозумів сарказм, коли те що я понаїхав і забрав у корінних можливість хату знімати - бо їм надо. а щодо матів - це експрессія, хто не зрозумів, той (немає сенсу приховувати за евфемізмами коли ти посилаєш)",584390459
5,709810,2024-01-07,"Приберіть особисті образи, або тегну адміна. Якщо ви не розумієте елементарного сарказму, то ніяка розбомблена хата не дає вам права сходу обкладати людей хуями",5286675988
6,708845,2024-01-05,,721918048
7,708809,2024-01-05,"То таки джипсі чи джитанос? Чи румуни? 
Чи взагалі булгари?",388782907
7,708811,2024-01-05,Так ви ж писали що всі румуни цигани бо роми,620798133
7,708812,2024-01-05,"О боги..
Якщо навіть ви не розпізнали сарказм гумору, то я мовчу",388782907
8,708087,2024-01-04,"Значить, як треба робити роботу по дому, реальний випадок
Запустив прання
Запустив посудомийку
Запустив мультиварку
Запустив аерогріль
Запустив робот пилесос
Втомився від домашньої роботи, ліг на диван відпочивати",411452861
8,708093,2024-01-04,"Підтверджую, поставити прання чомусь реально важка домашня робота",5286675988
8,708094,2024-01-04,"То сарказм був
Зовсім не важка і розвішати також",411452861
9,708014,2024-01-04,"Не іспортили, а довели до совєршенства, як скульптор статую. Бо мужика має бути многа в усі сторони☝️",5286675988
9,708017,2024-01-04,,467660602
9,708020,2024-01-04,Просто я сарказма при цьому недостатньо підпустила)),5286675988
10,707380,2024-01-04,Хтось не розуміє сарказму),1092865685
11,699348,2023-12-26,"* всівся зручніше *
Люблю ваші лекції. 
Ніякого сарказму",388782907
12,699284,2023-12-26,"Кхм, цей як його, а хіба деяка гіпотетична молода держава, дуже мужня, але дуже інфантильна, не пинала хуїв, поки в жопу не клюнуло? 30 років теж...",1132391594
12,699324,2023-12-26,ваш сарказм вбиває,5237043390
12,699326,2023-12-26,де сарказм? це історична довідка!,1132391594
13,699281,2023-12-26,Але якщо лежав на печі 30 років - точно личинка московита,388782907
13,699284,2023-12-26,"Кхм, цей як його, а хіба деяка гіпотетична молода держава, дуже мужня, але дуже інфантильна, не пинала хуїв, поки в жопу не клюнуло? 30 років теж...",1132391594
13,699324,2023-12-26,ваш сарказм вбиває,5237043390
14,696775,2023-12-23,,611597821
15,696481,2023-12-22,"Мабуть їм назва сподобалась. Гарно звучить Татарбунари (не сарказм , самому назва подобається)",597502100
16,695954,2023-12-22,"Не розумію радощів та сарказму в коментах. Насправді це сумно. Там, крім Маска, ще купа людей працювало над проектом, і ідея цікава. Є люди, які рухають прогрес, а є ті, хто нічого сам не зробив, зато обсирає їх в коментах (((",5279545019
17,694035,2023-12-20,"так, і він перестає бути пасивною агресією  і стає звинуваченням у відсутності гостроти мислення",5237043390
17,694057,2023-12-20,Тобто тупим наїздом?,620798133
17,694060,2023-12-20,"колись, у иоиенти підвищеної конфліктності у чаті, позначав сарказм у коментарях

людям не сподобалось",5237043390
18,694003,2023-12-20,"А ви знали, до речі, що вживання сарказму це вияв пасивної агресії)",467660602
18,694026,2023-12-20,"це коли сарказм позначений табличкою, чи коли не позначений?",5237043390
18,694031,2023-12-20,"Коли сарказм позначений табличкою, втрачається його цінність",467660602
19,694026,2023-12-20,"це коли сарказм позначений табличкою, чи коли не позначений?",5237043390
20,694007,2023-12-20,"ви щас тоже термінами почнете сипать, да?",1132391594
20,694010,2023-12-20,"Нє. Я - нє©

Аби не гіфками))",467660602
20,694011,2023-12-20,"Сарказм у декого так внедрився під шкуру, що це вже стало стилем спілкування. така собі броня",1132391594
21,694003,2023-12-20,"А ви знали, до речі, що вживання сарказму це вияв пасивної агресії)",467660602
22,690613,2023-12-17,,388782907
23,690460,2023-12-17,"О , менеджер. Пропоную винайняти Ілона Маска",597502100
23,690470,2023-12-17,він їбанько. але його компанії коштують під тріліон. тому в чому сарказм?,215172099
23,690485,2023-12-17,"сарказм саме в тому, що він - їбанько",5237043390
24,690459,2023-12-17,чомусь США це не завадило зробити в 1940 1945 роках. тому порівняння таке собі. і тоді це було чисто теоретично. а зараз це доведено і всі процеси відомі. тому не бачу ні чого нереально. тільки треба воля і менеджер,215172099
24,690460,2023-12-17,"О , менеджер. Пропоную винайняти Ілона Маска",597502100
24,690470,2023-12-17,він їбанько. але його компанії коштують під тріліон. тому в чому сарказм?,215172099
25,689496,2023-12-16,Це без перебільшення дуже гарна новина,467660602
25,689530,2023-12-16,"Це сарказм або ні? Якщо ні, поясніть, пліз.",197653690
25,689567,2023-12-16,"Потенціал як ліків, без сарказму. Від зловживань звісно добре не буде. 
Я лише про перспективи лікування птср під суворим наглядом лікарів.",467660602
26,689496,2023-12-16,Це без перебільшення дуже гарна новина,467660602
26,689530,2023-12-16,"Це сарказм або ні? Якщо ні, поясніть, пліз.",197653690
26,689541,2023-12-16,"Спробуйте мдма, і зрозумієте, що це не може бути сарказмом",164310136
27,689530,2023-12-16,"Це сарказм або ні? Якщо ні, поясніть, пліз.",197653690
28,688507,2023-12-15,"враховуючи текст оригінального мему, у смм київстара є почуття сарказму",597386573
29,688442,2023-12-15,Родич орбана?,61434218
29,688444,2023-12-15,"Прізвище Батрин, це не мадярське..",511609389
29,688449,2023-12-15,А ви зовсім не вмієте у сарказм…,61434218
30,687846,2023-12-14,Походу це знають тільки Наталки,597502100
30,687850,2023-12-14,"Бо то для краси було, вам, пацанам не треба, ви і так красіві",467660602
30,687852,2023-12-14,"Чую сарказм, но это на голодный желудок - можно)",578032908
31,685967,2023-12-12,"Тільки з автографом, не сарказм.",144488512
32,685553,2023-12-12,"ну бо ми втрачаємо традиції, втрачаємо історичну тяглість",1132391594
32,685556,2023-12-12,"Армія , мова , скріпи?",597502100
32,685561,2023-12-12,"армія, мова, сарказм",1132391594
33,684886,2023-12-12,ти бажаєш їх бачити поруч з собою?,5237043390
33,684893,2023-12-12,"Табличку ""сарказм"" забув. Ну, з теперішніми тенденціями всіх хто виїхав звинуватять у дезертирстві. Власне, деякі, вже.",114692500
33,684897,2023-12-12,"про сарказм - то важливо

бо такі часи - іноді важливо  демонструвати",5237043390
34,684866,2023-12-12,"Це все ухилянти, їх потрібно мобілізувати та на фронт",114692500
34,684886,2023-12-12,ти бажаєш їх бачити поруч з собою?,5237043390
34,684893,2023-12-12,"Табличку ""сарказм"" забув. Ну, з теперішніми тенденціями всіх хто виїхав звинуватять у дезертирстві. Власне, деякі, вже.",114692500
35,684737,2023-12-11,"Нічо, наступне літо виправить ситуацію",5286675988
35,684738,2023-12-11,Амінь. Іншалла.,388782907
35,684739,2023-12-11,Це був чорний сарказм😞 забирайте назад сердечки😭,5286675988
36,680187,2023-12-06,"а у вас, виявляється, Ігоре, такі глубіни іноді откриваються...",1132391594
36,680189,2023-12-06,я їх ретельно штукатурю іронією і стьобом,671849875
36,680193,2023-12-06,"ми всі, пане, ми всі. всі ті почорнілі шматки своєї душі ми тщательно штукатуримо бравадою і сарказмом",1132391594
37,679484,2023-12-06,"це не генератор, це життєвий досвід",1132391594
37,679507,2023-12-06,"то мо, тоді варто про це відразу вказувати?",5237043390
37,679513,2023-12-06,"тоді коментар буде складатися з одних дисклеймерів. про сарказм попередь, про жарт попередь, про досвід попередь",1132391594
38,679445,2023-12-06,"перерву одноразово свою схиму, бо згадав, що подібне було і в моєму житті

не  можу сказати, що жалів пінку, але фраза *люба, а чому від тебе смердить, як від щойно вибритого мужика?* все повернула на місця

і жінка стала пахнути по-жіночому

———-

в якості тортур побуду в ро ще 2 дні",5237043390
38,679446,2023-12-06,А як має пахнути жінка? Кабошар де Гре чи Опіум ІСЛ - достатньо жіночі запахи?,5286675988
38,679450,2023-12-06,"Хлібом, молоком і домашнім очагом

Сарказм)",467660602
39,679378,2023-12-06,А шо це за прикол про путіна як людину року?..найвищий левел сарказму чи справді щось таке могло буть?,663181267
40,678625,2023-12-05,сарказм,701251977
41,676494,2023-12-03,"увага, це не навчальна тривога! увага, в чаті білопальтошники, увага! усім діяти згідно затвердженого плану цькування та сарказму!",1132391594
42,676058,2023-12-02,"Якщо наніч кави нап'юся на голодний шлунок, то бува",1132391594
42,676059,2023-12-02,"та я взагалі не про те, але порекомендую ще цигарочку",5237043390
42,676060,2023-12-02,Та я взагалі тоже. Но сарказм затонкий...,1132391594
43,671228,2023-11-28,"я не волшебнік, я только учусь.",1132391594
43,671229,2023-11-28,"ну, не боги в горшки накладали...",5237043390
43,671230,2023-11-28,я шось сьогодні після новини про пані Буданову особливо ненавиджу людішок. какгби не сорваться в лютий сарказм і подйобки,1132391594
44,670940,2023-11-28,,5286675988
45,670301,2023-11-27,та звертайся. там і розкажуть як ні чого не робити виграти війну. і як авіаносці США будуть захищати нас і т.п.,215172099
45,670305,2023-11-27,"де там?
у шарашці?

чи знаєте ви, що це таке?",5237043390
45,670309,2023-11-27,"так, знаю. тому і написав саркастично. на твій сарказм",215172099
46,666224,2023-11-23,,209338343
46,666230,2023-11-23,"Я кажу без сарказму, реально вийшло так що катастрофа на Чорнобильський зробила більше користі природі виселивши звідти людей.",236135462
47,665678,2023-11-22,Красно дякуєм 🥰 (і це без сарказму),645340480
48,664953,2023-11-21,"Українці восхітілісь рішучістю болгар!*без сарказму, реально щось хороше сталося*",153331350
49,663967,2023-11-20,"Гаразд. Все буде добре, - є й втрати, але й досягнення. Підозра цьому хєру - це добре, то що він крав - погано, але може ж покарають, а на наступного ще подивимся і тоді будем судити. Боротьба триває 💪",645340480
49,663969,2023-11-20,"ну не перегібайте, про все добре))) але да, боротьба триває",1132391594
49,663971,2023-11-20,"Ну добре, дійно перегнула трохи 😅 але весь комент без сарказму, чесно",645340480
50,663120,2023-11-18,Ахахах бліін))) ви реально це дізнавалися?)),467660602
50,663123,2023-11-18,,411452861
50,663125,2023-11-18,Я дійсно перестаю чути сарказм),467660602
51,662712,2023-11-18,"Так, а  зелі +, він зміг, на 5 році роботи рука не дрогнула! Сарказм!",516806576
52,661553,2023-11-17,,2138916991
52,661558,2023-11-17,"Ну тоді й вибори проводити можна
Нема тривог - нема небезпеки",126642968
52,661560,2023-11-17,"це в 2023 це сарказм, а в 2024 люді усталі ат вайни 2.0",190944926
53,660300,2023-11-16,"Якщо сарказм треба пояснювати, то його не треба пояснювати",388782907
54,658103,2023-11-14,За Пересыпью жизни нет))))),578032908
