ConvThread,MessageID,Date,Message,UserID
0,2233217,2024-01-09,,559728713
0,2233235,2024-01-09,"ну це якщо в Україні лікувати, то звучить як сарказм",439682309
1,2233217,2024-01-09,,559728713
2,2224262,2024-01-03,"""А мені папірчик - дорожче за здоровий глузд"" - заявили польські протестувальники",669775779
2,2224263,2024-01-03,"Дотації самі себе не покладуть у польські паразитичні кишені. Тема рольніцтва ще з часів ковіду має проблеми. 
Ми купимо мільйон тракторів, візьмемо в аренду всю землю що дають, і похуй що у Європі є квоти і збит польских продуктів в такій кількості нереальний. А потім ми будемо протестувати вимагаючи від Брюсселю дотації.",451832211
2,2224272,2024-01-03,"Але для нас вигідно це. Польські фермери отримують дотації, роблять більше хавки, вона трохи дешевшає, відправляють до нас. Нам профіт, бо голоду не буде. Голод настане тому що останнього тракториста Миколу мобілізували штурмувати посадку (якщо пощастить у танкісти) і с/г у піке. Це якщо що сарказм, хоча може бути нашою реальністю",353455719
3,2220135,2023-12-29,Коли там аеропорт відкривають?,576359160
3,2220136,2023-12-29,?,669775779
3,2220138,2023-12-29,"Сарказм, пов'язаний з відкриттям борисполя.",542817226
4,2207935,2023-12-09,"ну як. Зе отримав чудодійних піздюлів від США і тепер закони не по півроку-рік підписує, а за кілька годин. Ще і Рада виявляється може приймати закони. Один позитив",353455719
4,2207967,2023-12-09,Томи колонія виходить чи здали суверенітет в аренду?),353448591
4,2208061,2023-12-09,А такий чудовий Третій Шлях могли б побудувати... (сарказм),358359981
5,2205731,2023-12-04,"Ну звісно, треба ж було 5му каналу усе віддати, бо саме там усі найталановитіши журналюги, і власник вже ж не олігарх бо відсунули від влади подалі. Обділили найталановитіших та найкращого патріота, неправильних олігархів нагодували. 
Та і взагалі навіщо витрачатися на той контент та на той телевізор - усіяки арестовічи безкоштовно наклепають усілякого лайна у ютубі.😄
А цікаво, автор цього хоч знає скільки рашка витрачає на свою пропаганду, для порівняння? Як би нам не опинитися у повній дупі з таким підходом що нам воно не треба якщо на це треба витрачатися.",465543543
5,2205854,2023-12-04,Для чого цей висер???,1379724395
5,2205864,2023-12-04,"Це був не висер, а лише сарказм.
ОК, якщо серьозно - ця публікація замовлена, на мою думку. Питання лише ким саме замовлена: ворогом як частина ипсо або деякими нашими корисними ідіотами з бажанням пограти у  політику під час війни. Але в будь якому разі зараз це працює на користь ворога, тому що провокує розбрат серед нас.",465543543
6,2205056,2023-12-01,Хахахаха про що ти говориш😁😁,373539395
6,2205131,2023-12-01,"Ну да, втік тупицький - ну і похуй, нащо про це говорити",511273528
6,2205132,2023-12-01,"Та я іронічно, просто з сарказмом питаю, маючи на увазі що ніхто в цьому не зацікавлений і нікому закон не писаний з крутих пацанів/",373539395
7,2201613,2023-11-21,,394986899
8,2201370,2023-11-20,"Якщо ми будемо витрачати гроші на армію, то за які гроші ми тоді будемо будувати дороги?",443248482
8,2201371,2023-11-20,"Мб за грантові, меценатські, інвесторські?",351048284
8,2201388,2023-11-20,То був сарказм,373539395
9,2201371,2023-11-20,"Мб за грантові, меценатські, інвесторські?",351048284
9,2201374,2023-11-20,То ж звіти тоді давати треба буде. При чому зацікавлені інвестори їх обов'язково перевірять. А бюджетні видатки не будуть дивитися)),443248482
9,2201375,2023-11-20,"Ну я чудово розумію цей сарказм, але якщо дивитись з точки зору ""А як тоді нам бути?"", то бачу саме такий, наприклад.
Нехай звітують. Нехай роблять роботу.

І загалом: виглядає так, що нам всім треба бути дуже пильними й прискіпливими до своїх Рад, Громад і т.п.🤔",351048284
10,2199989,2023-11-17,"Мені взагалі має бути похуй, по-ідеї",373539395
10,2199993,2023-11-17,"Забув написати, що із-за комбо у тебе +100% реакції на даний вид новин, просто недавно патч на гру ""Життя"" вийшов, а хтось нормально новину не запостив.",1468980137
10,2200036,2023-11-17,Не можу розгледіти що ти маєш на увазі під шарами сарказму,373539395
11,2197352,2023-11-14,,352354917
12,2196321,2023-11-13,"інститут репутації не діє, президенту похуй на урбаністику і думку Єврокомісії, зрада",1064388481
