ConvThread,MessageID,Date,Message,UserID
0,3879830,2024-01-16,І що вийшло?,1567264749
0,3879834,2024-01-16,"Та ж тік-ток.
Але тік-ток не пепекладається.
Це як ""підлога країни"".",1223402625
0,3879835,2024-01-16,"Сарказм, сер!",1567264749
1,3879788,2024-01-16,"сарказм, чи дійсно таке тупе?",2058358316
2,3875965,2024-01-14,Походу надо удалить его вообще тот первый коммент с сарказмом,5196997387
3,3875949,2024-01-14,"Детектор сарказму не в пизду, тому й напали на тебе.",5066627820
4,3870149,2024-01-12,Настоящие россияне умеют сочувствовать и сопереживать.,5379456916
4,3870235,2024-01-12,А на какой они планете живут?,5201351788
4,3870963,2024-01-12,Это был как бы сарказм.,5379456916
5,3868290,2024-01-11,,552090853
5,3868292,2024-01-11,Падхуйловіє 😂😂😂,5397710913
5,3870685,2024-01-12,То певно сарказм був..,1223402625
6,3857440,2024-01-07,То Суперліга УЄФА?,312780795
6,3857451,2024-01-07,Суперлига дрындылыныры,590242308
6,3857460,2024-01-07,То сарказм був. 😁,312780795
7,3856281,2024-01-07,Стільки болю за цим сарказмом😢,436618829
8,3855910,2024-01-06,"Ну то давайте віддамо Угорщині нарешті.
Може, Орбан ветувати все на світі припинить.",545476916
8,3856002,2024-01-06,Давайте вас назер віддамо.Менше тупих коментарів буде.,5107403026
8,3856040,2024-01-06,"В серіалі «Теорія Великого вибуху» таких, як ви, весело пиздили табличкою з написом «сарказм».

Тому так, давайте менше тупих коментарів.",545476916
9,3854529,2024-01-06,"На оккупированной части Запорожской области рапортуют, что приехали специалисты из Карелии. Может их отправить в подмосковье",5372111768
9,3854530,2024-01-06,"Ой, блядь. В карєліі такі спеціалісти, що та карєлія постійно без опалення сидить.",769329734
9,3854573,2024-01-06,Если шо - это был сарказм,5372111768
10,3851085,2024-01-04,"Он поляк, шотакоє.",380539187
10,3851088,2024-01-04,Из него поляк как из меня Майя Плисецкая,1049732270
10,3851094,2024-01-04,"Пардон, табличка ""сарказм"" в іншій кишені)",380539187
11,3842032,2024-01-01,"Странно, куда от них прилетает там везде иностранные наемники и склады и похер где это (роддом, трц, гостиница в центре города, школа, детсад, почта и т.д. и т.п.), а как к ним четко куда-то прилетает так у них там резко оказывается все мирное-мирное, детское-детское.",6119464486
11,3842417,2024-01-01,"Того що пизьдеть і маніпулировать то їх робота, от чого так західні люди на це ведуться оце питання, невже такі довірчиві на маніпуляціях маячні собачої 🤷",539926967
11,3842418,2024-01-01,"Это был сарказм. Я прекрасно все понимаю, но тоже всегда удивлялся тому, что запад так ведется на их пиздеж.",6119464486
12,3840110,2023-12-31,"Вроде все правильно написала. Про ракеты от запада и сша не очень понятно, но может женщина с иранскими дронами их перепутала",654993831
12,3840157,2023-12-31,то про ленд-ліз😏,1445994622
12,3840159,2023-12-31,Ви щось чули про сарказм?🤦‍♀️,654993831
13,3837674,2023-12-30,"Тоді питаннєчко до модераторів, чому русня ще не забанена.",6092620538
13,3837677,2023-12-30,"Питаннячко до тебе, чому ти не вмієш в сарказм.",532043404
13,3837692,2023-12-30,"Де та сарказм був у русні з ніком ""корміть лосєй""??",6092620538
14,3837664,2023-12-30,"Звісно, русня.",545476916
14,3837674,2023-12-30,"Тоді питаннєчко до модераторів, чому русня ще не забанена.",6092620538
14,3837677,2023-12-30,"Питаннячко до тебе, чому ти не вмієш в сарказм.",532043404
15,3833885,2023-12-29,"Знищено:
Муляжів пускових установок ""Петріот"" - 11 у трьох областях. (без подробиць). 
Муляжів Су - 24. - 14 на двох аеродромах. 
Муляжів F - 16 - 8 на двох аеродромах. 
Муляжів пускових установок ""Насамс"" - 3. 
Муляжів танків ""Абрамс"" у Запорізький області та Харківський області - 14.",394097724
15,3833893,2023-12-29,Хто першоджерело?,5186022169
15,3837250,2023-12-30,Це називається сарказм.,6167701753
16,3835795,2023-12-30,Зараз Польща як дасть відповідь🙈,5233991755
16,3835826,2023-12-30,Це ви як полячка кажете?,5070194708
16,3835921,2023-12-30,"Та ні, як українка. Це сарказм, маю на увазі, що ніякої відповіді. Смайлика поставила, де очі закриті, тобто нічого не бачили, нічого не було взагалі.",5233991755
17,3829416,2023-12-27,"Ок, ви просто і дуже зрозуміло висловлюєте свою думку - я чесно кажучи не зрозумів нічого, який бодун, розсол та глово😂",636772722
17,3829427,2023-12-27,"Не знаете, что такое глово?",48924527
17,3829464,2023-12-27,"То був сарказм. То я прикалол подругу, там щось з мізками не в порядку у дівчини, відати торкнуло її добряче.",636772722
18,3826440,2023-12-26,",Ну, очень нравится ваш разбор полетов, и специально примитивная манера общения! Браво! Успехов в работе! Иронию  и сарказм оценила , достойно,)",5755746709
19,3824933,2023-12-26,"Не ну не надо на власовцев гнать, если мьі нацисти, то власовцьі ето РДК))))))",6101757776
19,3825167,2023-12-26,"Иду дураки думающие что можно росиянцев оправдать, у них рашизм в крови сам СССР был как брат близнец нацизма только с другими лозунгами. Пока есть рашизм, оправдания срасеянцам нет",5768909349
19,3825351,2023-12-26,Ето бьіл сарказм),6101757776
20,3822627,2023-12-25,,571203167
20,3822674,2023-12-25,Чого це?,5172707407
20,3822681,2023-12-25,це був сарказм,571203167
21,3822120,2023-12-24,"Мгм, тролі/йумар/сарказм... Вони людожерські довбойоби, і все.",380539187
22,3818428,2023-12-23,"Ви справді не розумієте, чи прикидаєтесь?",61434218
22,3818431,2023-12-23,Что?,48924527
22,3818442,2023-12-23,Некоторые не умеют различать тонкие нотки сарказма,590242308
23,3816274,2023-12-22,"Навального? Не знаю, тільки нащо він нам потрібний? Я без сарказму про це пишу, просто не бачу сенсу це робити.",1343077812
24,3815883,2023-12-22,Ваш сарказм не поймут 🤪😆,652663268
25,3815844,2023-12-22,"Тримайся, брате, ти нам потрібний",1101386968
25,3815855,2023-12-22,"Работаем 

Нужно чи мультики посмотреть, чи хз 

Бо уже на людей кидаюсь",533131225
25,3815863,2023-12-22,"если честно, если бы это был не сарказм, то это больше было бы похоже на запыську...",1381122581
26,3815833,2023-12-22,"Я извиняюсь, не догнал шо это сарказм 

С юмором туго в последнее время",533131225
27,3815810,2023-12-22,"Тупые каклы потратили дорогие ракеты на посредственный бомбардировщик. Що с ебалом, биндеры?",595316020
27,3815821,2023-12-22,"Димон, водки нет, иди нахуй",533131225
27,3815826,2023-12-22,"Фаш, то сарказм)",862472890
28,3812193,2023-12-21,На нет и суда нет как говорится.,1044594058
28,3812201,2023-12-21,"Из хожу - это что, это где? Когда ж вы ызыг свой выучите?",5190272131
28,3812203,2023-12-21,"Без всякого сарказма и искренне рад, что у Вас с русским видимо лучше чем у меня.",1044594058
29,3806357,2023-12-18,"Просто проігноруйте, це чат, тут тільки потрендіти збираються.
На скільки я проаналізував діалоги, ніхто не пролистує до суті, а коментують останній допис, що не є об'єктивним.",5163244204
29,3806362,2023-12-18,"Я не в одному чаті сиджу, але тільки тут чоловіки вирішили повчити мене як мені говорити і що",6464908447
29,3806372,2023-12-18,"О, то все ж таки, то був не сарказм?! Треба було в'їбати чоловіків у чаті?",5087988484
30,3806316,2023-12-18,Коли рівноправ‘я іде до мобілізації то жінки дуже ображаються,1551608723
30,3806338,2023-12-18,"Не туди граєш. В нашому суспільстві скоріше буде ситуація, коли жінки то підуть, але замість своїх чоловіків. Типу їбися сам з дітьми, побутом і зароблянням грошей. А я піду повоюю",239706452
30,3806360,2023-12-18,"Я перепрошую, це теж сарказм?",5087988484
31,3806329,2023-12-18,"Ви не бажаєте заспокоїтися, далі не цікаво. Напишіть про коляски в окопі по іншим каналам, думаю знайдете й такі де цей ""сарказм"" зайде.
Якби ви дійсно шукали інформацію ви б давно її знайшли",1101386968
32,3806320,2023-12-18,"Та якби то були жарти.
Вити хочеться, без усякого сарказму.",682008809
