ConvThread,MessageID,Date,Message,UserID
0,220577,2024-01-29,"Для меня только русский несет, геи мне ничего плохого не сделали",973307262
0,220579,2024-01-29,"Выпьем же за это, друзья! 🥂🥂🥂",1112540507
0,220580,2024-01-29,"У мене таке враження, що хтось із вас пише серйозно, а хтось трішки з сарказмом 😂",724477644
1,219949,2024-01-28,"Нічого в Полтаві не гепає, довіряйте офіційним джерелам. Це все з Кременчука відлуння",5959223607
1,219955,2024-01-28,"може гепає і не в нас, але звук навіть сюди чути",385531315
1,219956,2024-01-28,Це сарказм якщо шо,345520658
2,218662,2024-01-27,"Я ж не про чувака, а про саму залізяку",347152596
2,218666,2024-01-27,так а полицейским респект то за шо?),6250106907
2,218670,2024-01-27,"Та то контрольний, після ""нагла залізяка"" щось між жартом і сарказмом.",347152596
3,218348,2024-01-26,"протиріччя типу нє, не вловили?",74202835
3,218351,2024-01-26,"ну то ж російський серіал, він солідніше",5236866602
3,218354,2024-01-26,"це типу сарказм? Бо українців іноді складно зрозуміти де вони жартують, а де дічь на повному серйозі порять 🙂",74202835
4,217960,2024-01-26,Дуже...,919869804
4,217976,2024-01-26,"В мене бабуся по лікарням була дуже часто ,тому в мене реально нервовий сміх",1621583522
4,217977,2024-01-26,"Я все це розумію, тому теж так написав, але шось навіть сарказм вже якось не виходить, якщо серйозно тотальний бал сатани якийсь, цинічний цинізм",919869804
5,217750,2024-01-25,,569254811
6,212973,2024-01-19,"Мальчик)
Але може викладати дівчатам курси як бути важкодоступною 😂",724477644
6,212975,2024-01-19,норм тип по ходу),1985592765
6,212976,2024-01-19,"О, да)
Він мій улюблений мущинчик для підколів і сарказму😂",724477644
7,211846,2024-01-17,,6025468086
8,211844,2024-01-17,,6025468086
8,211845,2024-01-17,"А,кто говорит ,что Катя виновата ?то был сарказм",1621583522
9,211064,2024-01-14,Щось тут не сходиться,336834854
9,211068,2024-01-14,"Це ж книга Кійосакі. ""Багатий папа, бідний папа"". На неї моляться ті хто не розуміється в економіці.",127273718
9,211069,2024-01-14,"Та знаю, то вже через ""інтелектуальний і конструктивний діалог"" у мене відповідний сарказм включився 😂",336834854
10,208651,2024-01-08,"то не іронія, то сарказм",696839977
11,208255,2024-01-07,"ты не прав - телеграм, к примеру, это просто канал связи и источник иформации и, кстати, из-за твоего ошибочного мнения, потом тебя кто-то там и ищет)",1985592765
11,208262,2024-01-07,"Это никак не связано почему меня кто-то собрался искать) как говорил классик ""шутка, это я шучу, если ума нету шутку не воспримишь, чувства юмора, иронии, самоиронии нету, значит не воспримишь, паскуда. Ну и для того, чтобы не быть паскудой для этого надо быть добрым человеком""😁",1690909691
11,208266,2024-01-07,"типа ирония/сарказм это ещё юмор, а прямое оскорбление это оскорбление...",1985592765
12,208265,2024-01-07,"Все очень просто, не пишешь мне  - не находишь повода для обиды на мой сарказм или иронию",1690909691
13,206182,2024-01-03,"Бачила на автовокзалі за трц Києвом стояли 4 з папкою,роздавали",527002445
13,206183,2024-01-03,"классная серёжка, вам идёт",1985592765
13,206184,2024-01-03,Дякую 😏(надіюсь то був не сарказм 😅),527002445
14,206129,2024-01-03,"Звичайно,але облава на Половках біля Пожарки була не сарказмом)",6399012723
15,206024,2024-01-03,"А,с каких это делов ?",1621583522
15,206027,2024-01-03,"Вас же тут все не влаштовує 
А буде тільки гірше",681341276
15,206029,2024-01-03,"Офігенний підхід.
Сподіваюся що то сарказм.",724477644
16,204761,2023-12-30,А що тут поганого?,222404066
16,204765,2023-12-30,"квиточка, шо за дела? Насрала под чужим постом, а потом спрашшивать, шо тут поганого) А где я писал про погане? Я говорил про разные критерии оценки. Може по хер знает какому скопусу (там на слайде какая-то байда) стояк лучший, а по клубнике аграрка!)",6250106907
16,204842,2023-12-30,Насрала? То ви адресою помилились. Серуни тут інші. Ну а сарказм напевно я не повинна була помітити,222404066
17,204782,2023-12-30,Откуда такие познания?),958997934
