ConvThread,MessageID,Date,Message,UserID
0,125501,2024-01-30,"Та ні, звісно, через Білу Церкву йде Великий Опіумний Шлях. І звісно, те, що йде транзитом, споживається саме у Білій Церкві, бо загальновідомим є те, що настільки платоспроможного попиту, як там, нема тупо ніде!",65936433
0,125503,2024-01-30,"Звісно, саме ж це я і написав🤡.",1913243615
0,125504,2024-01-30,"дон Vlad Se, то був сарказм.😂",65936433
1,122481,2024-01-22,Сербы попали  в современную Сербию с территории современной Украины (наверное поэтому так любят Россию - сарказм).,1300447522
2,121753,2024-01-20,Anton https://youtu.be/U7yZ1wVkB74?si=Uv0ZZ9nOEC4CvQvU,422868435
2,121755,2024-01-20,"Єбать, авторітетний чувак 😂😂😂 [сарказм]",65936433
3,114386,2023-12-18,,655160498
4,114335,2023-12-18,,655160498
4,114382,2023-12-18,"Це сарказм) Хоча думаю в реальності знову дадуть плюшки корпораціям і багатіям, а дурням реднекам уявну перемогу.",353448591
5,110896,2023-12-06,,422868435
6,109522,2023-12-03,,655160498
7,109307,2023-12-03,,655160498
8,109271,2023-12-03,,655160498
8,109284,2023-12-03,"Шкода, що тебе не знайомили зі словом сарказм...

Так з чого роблять пластмасу?",694137630
9,107572,2023-11-29,"Я з самого початку був впевнений, що це під Арестовича знов копають 😂😂😂",433030221
9,107575,2023-11-29,Арестович наш президент😻😻😻,694137630
9,107756,2023-11-29,"Пане Григорій у ВО ""Свободі"" заборонили сарказм? Так швидко?",694137630
10,107701,2023-11-29,"🇮🇪🇬🇧 Це тому, що Ірландія є для британців? Сарказм звісно, а так ви поміняйте ірландців на інший народ, і результат буде не зміний в разі, якщо ви будете мати справу з крайніми лівими🤷‍♂",6413259822
11,105157,2023-11-20,"Тупо вдаються в протекціонізм та кладуть болт на правила вільної торгівлі. Ах**ти як захищають свої права, ні разу не свинство з їх боку.",6413259822
11,105158,2023-11-20,"Ну це ж не права, їх права не порушені, вони просто ні собі ні іншим

Ну і блокувати рух по дорозі, це незаконно",576743800
11,105160,2023-11-20,Захист прав це сарказм у мене.,6413259822
12,102665,2023-11-12,"Завжди чув від предків, а чому б мені не піти на юриста після школи? Ні економіст, ні інженер, ні щось інше. Звідки в Україні така схибленість на юристах як професії? Нам потрібні в першу чергу економісти, бо з цим у нас як завжди була найгірша ситуація. Зараз це тупо виживання України в умовах війни, але не суть. Економіка це точна наука якраз.",6413259822
12,102673,2023-11-12,"Доволі дефіцитна на ринку зайнятості, особливо серед представників високого стандарту. Звідси і висока оплата і статусність",694137630
12,102706,2023-11-12,"Сподіваюсь, це був сарказм...",351338032
13,100270,2023-11-07,,386426214
14,100201,2023-11-07,"Тобто деякі люди почали розносити хуйню, а коли виявилося, що це не так - чекають, що влада буде за них писати спростування?",128880687
14,100204,2023-11-07,"Ну взагалі-то спростовувати слухи що до своїх планів, — це прям чи не основна задача політиків...",694137630
14,100205,2023-11-07,"Політика це мистецтво на*бати людей в масштабі цілих країн. Це сарказм, але не суть.",6413259822
15,96632,2023-10-27,"Чую від трампіста в Україні. Я сприйняв з сарказмом, не ви. Деяким особам щось пояснювати нема сенсу і все.",6413259822
16,96626,2023-10-27,"Хіба мова була про Польщу чи Британію? Ви зробили маніпуляцію на користь того, що якби не передача Джавелінів чорт знає коли Україна не вистояла б, я сприйняв це з сарказмом, а ви кажете, що я в чомусь помиляюся. Ви змінюєте суб'єкти обговорення, оскільки не можете аргументовано довести свою точку зору. Феномен українського трампізму це далі мій об'єкт дослідження в питанні пошуку глибиних сенсів😂",6413259822
17,96008,2023-10-26,"А, ну черговий ідейний юдеопуританин, хулі",961449261
17,96010,2023-10-26,"Судячи з фоловів та твітів, зовсім ні",422868435
17,96016,2023-10-26,Бо я долі сарказму в його стверджувальних твітах не зовсім побачив,961449261
18,95867,2023-10-25,Тепер я хотів би подивитись на наших тампофілів!!!!!!,2070506772
18,95888,2023-10-25,"Ви не розумієте, не все так однозначно. То все наговорюють ліві ЗМІ. Насправді Трамп проукраїнський. Он він нам колись навіть 30 джавелінів дав.",694137630
18,95890,2023-10-25,Сарказм!!!!!!,2070506772
19,95188,2023-10-24,Це був сарказм?),677373351
20,94256,2023-10-20,Доказано виборами в Україні в 19 році,370932362
20,94312,2023-10-20,"Зараз би замість йобаного Leader of the free world з рожею зеленого блазня в кожному західному ЗМІ та його клятими виступами в американському Конгресі - Мінськ 3 був би, війни б не було 😥",939898637
20,94357,2023-10-20,Ви хотіли в сарказм і випадково написали правду,370932362
21,91029,2023-10-11,Чи це сарказм 😲,433030221
22,90779,2023-10-10,"Не розумію сарказму через виселення вірменів, особливо іронічно це чути від українців, виселення/переселення це ж злочин.",353448591
23,87614,2023-09-30,"Ну а треба було наперед вилизувати трампона, може б і підкинув би зараз пару джевелінів (але не факт). Зато ліваки би смоктанули (це сарказм якщо що)",6038847857
24,81202,2023-09-13,"Ага, віримо (сарказм)",422868435
25,74664,2023-08-24,Це такий екстремальний сарказм?)),370932362
26,72908,2023-08-20,Я вже 2 тижні (сарказм) з цього ору,1753598578
27,72273,2023-08-18,"Заряджається телефон.
Людина рухається.",1389012636
27,72274,2023-08-18,А людина робить зарядку. Заї..ли неофіти,264751505
27,72279,2023-08-18,"Так, розумію Ваш сарказм, щодо новоязу. Та на захист цього слова можу сказати, що людям підсвідомо важливо відмежовувати себе від неживих предметів,  бо якщо і ви зарядку робите, і ваш ноут то ви ідентичні? Розумію, що складно, але вже як є.",1389012636
28,72209,2023-08-18,"А навіщо вам це доводити? Компаніям які працюють на запит від мільйонних країн, не мають що робити?

Ні судячи по всьому ви не знаєте що таке вакцина, плутаючи її з чіт-кодом на безсмертя в комп'ютерних іграх",694137630
28,72210,2023-08-18,"О, ну за такою логікою компанії, які працюють на запит від мільйонних країн, можуть ""винайти"" вакцину від усіх хвороб. Ну а те, що хтось там помер від раку, то ""вакцина не дає 100% гарантії, а лише полегшує перебіг хвороби"".
І знаєте, чому фармкомпанії до цього ще не дійшли? Тільки тому, що є протоколи тестувань нових ліків. У тих протоколах, умовно кажучи, спочатку ми тестуємо вакцину на мишах, якщо мишей здохло небагато, то на мавпах, потім на людях-добровольцях, оцінюємо БАГАТОРІЧНИЙ вплив на організм і т.д.

Як було у нас? ААААААААПАНІКАКОВІДТРЕБАВАКЦИНА
@
ОСЬ ВАМ ВАКЦИНА
@
А ВИ ЇЇ ПРОТЕСТУВАЛИ?
@
КОВІДДІСІДЄНТ АРРРЯЯ!!11",1022083651
28,72222,2023-08-18,"А для чого це доведення до абсурду? Якщо сарказм, то дуже поганий. Якщо алегорія то безглузда. Якщо аргумент то не релевантний.

Ви точно знаєте що таке вакцини?",694137630
29,69947,2023-08-06,"Просто вйськового рішення в принципі не має — москву ми не спалимо
А політичного теж нема, поки путін живий
А знаєш чому?
Бо наші стратеги не готувались до війни і рф взяла південь за 3 дні і включила його до складу рф
І тепер їм нема куди дати задню
Тож нема політичного рішення
Дякуємо Зеленському та Залужному, які не збиралися обороняти південь",370932362
29,70003,2023-08-06,"З Херсонсу росвійська самі ж вийшли так, а не наші ""звитяжно витисли алкочмобіків які без зброї голодні воювали проти де-факто натівських укроорлів""?",319346822
29,70007,2023-08-06,"Стільки рівнів сарказму, що я заплутався)
Що саме ти хочеш сказати?",370932362
30,68407,2023-07-26,Кожна їхня заява краща за попередню (сарказм),422868435
