ConvThread,MessageID,Date,Message,UserID
0,1952324,2024-01-16,"Байден-Трамп, де зброя, сука?",5180322773
0,1952336,2024-01-16,А они кому то шото должны???,5191399699
0,1952393,2024-01-16,"То був сарказм.
Взагалі то винні, але з такими корупційними пріколами мы втрачаємо моральне право в них хоч щось просити",5180322773
1,1951212,2024-01-16,Як історія показує американці розумніші від вас. То вам би краще замість сарказму повчитися.,737288258
2,1950236,2024-01-16,"Так багато лайків, люди, схаменіться, США нам друзі!!",5267161410
2,1950240,2024-01-16,Нема в нас друзів. Друзі не поставляють твоїм ворогам в обхід санкцій деталі для калібрів які тебе ж вбивають. Ми для них полігон а не друзі,1402185709
2,1950242,2024-01-16,То був сарказм. ☺️,5267161410
3,1950101,2024-01-15,Все вірно! Ефір зачекає! (Не сарказм)!,5102607687
4,1942715,2024-01-11,"Воювати, навчатись, лікуватись в Україні можна безкоштовно.",1891709643
4,1943111,2024-01-11,Воювати безкоштовно може і можна а вот навчатись і лікуватись ще не бачив такого.,1730607849
4,1943376,2024-01-12,"Це сарказм. Уважно прочитайте речення. 
За те, що ви воюєте платити не потрібно.",1891709643
5,1938633,2024-01-10,"так по конституции у нас и свобода передвижения задекларирована и т.д.
как вы не поймете боневтик узурпировал влатсь стал диктатором и хуй лоижл на конституцию",642942005
5,1938641,2024-01-10,"Я то понимаю, вот Вы либо не понимаете сарказм, либо бот.",5175101477
5,1938648,2024-01-10,"я бот который не понимает сарказм ) либо просто бот 
та ору я ...тут кучка клоунов в оснвоном - душу ответси само то",642942005
6,1938618,2024-01-10,"Нехай закон подає той кому це вмінено Конституцією. І готувати його повинні правники, а не аматори з квк.",5175101477
6,1938633,2024-01-10,"так по конституции у нас и свобода передвижения задекларирована и т.д.
как вы не поймете боневтик узурпировал влатсь стал диктатором и хуй лоижл на конституцию",642942005
6,1938641,2024-01-10,"Я то понимаю, вот Вы либо не понимаете сарказм, либо бот.",5175101477
7,1937987,2024-01-10,"Недалеко ушла Украина от России на самом деле. За это, конечно, не жалко и жизнь отдать (сарказм)",5258752125
8,1937320,2024-01-10,"Це ж добре, що ледарі повиїзджали. Не будуть заважати будувати країну мрії Гончаренку разом з тими, що залишилися.",6095891316
8,1937660,2024-01-10,Яка ж ти потвора! Мами з дітьми - це ледарі? Сидиш у чатиках та й пишеш огидні речі ...🤮🤮🤮,574104306
8,1937763,2024-01-10,"Ти вівця тупа, подивись у словнику значення слова ,,сарказм,,.",6095891316
9,1932424,2024-01-08,Написав кацап якому по хуй той мир лиш би Україна перестала вбивати кацапів,5439955960
9,1932436,2024-01-08,"Ебанько, про сарказм чув колись?",785072646
9,1932444,2024-01-08,Бля ви заїбали зі своїм сарказмом на кацапській язіку,5439955960
10,1932399,2024-01-08,"Не тупи. Очередной мир от зелени в противовес кроважадном главкому, который требует пол миллиона мальчиков в трусиках",785072646
10,1932424,2024-01-08,Написав кацап якому по хуй той мир лиш би Україна перестала вбивати кацапів,5439955960
10,1932436,2024-01-08,"Ебанько, про сарказм чув колись?",785072646
11,1929293,2024-01-06,"Треба прибрати доплату за бойові, знизити зарплатню до мінімальної (все одно годують за рахунок бюджету) і видавати зарплатню готівкою і тільки тим, хто повернувся з «нуля». Тоді ще залишаться кошти на пару низькопробних серіалів про героїчні подвиги 95ої бригади з Кривого Рогу.

Якщо що, то це сарказм.",707919279
12,1928270,2024-01-05,"Ну це ж не мобілізація (сарказм звісно), от тобі гарантії від держави🤦🏻‍♂️",6122999931
13,1926619,2024-01-05,"Ну як показує практика, США не такі і друзі виявилися нам🤷‍♂️",800914130
13,1926635,2024-01-05,А хто вас друзі? Північна Корея?))),645865961
13,1926643,2024-01-05,"Це був сарказм, якщо що",800914130
14,1926367,2024-01-04,"Тролили не одноразово))
Якщо хтось не розумію сарказму, то не варто вже й дивитись такі концерти))
А по факту вже пора багатьом вивчити українську мову, а не йдеш на вулиці і кругом чуєш російську.",444014715
15,1924168,2024-01-03,"Це жарт ,сарказм .А ось як українці ганьбою займаються своїх же,це вже жах .Відчипится від гумору .Це було смішно і доречно .",432988833
16,1923425,2024-01-03,"І шо не так .Це здоровий сарказм .Украінці ,ви і тут зраду знайшли🙈",432988833
17,1922988,2024-01-03,"Це не сарказм, це насмішка.",1004695916
18,1922844,2024-01-03,"Сарказм має межі. Про термос, Україну повію, ебонітові палички теж сарказм? Що далі? Військові?",742414241
19,1922803,2024-01-03,"Не розумію,є сарказм,є жарт над тим що ми не говоримо чисто,і де тут щось погано ??Я в цім зовсім нічого поганого не побачила.Так з Скадовська,але що було б інакше як би сказала що що з Дністра?Києва....",1710446786
20,1922496,2024-01-03,Та я іронизую шо ти доєбався,1314124869
20,1922539,2024-01-03,"Це не іронія, а вульгарний сарказм!",1362056824
20,1922540,2024-01-03,"Ну ...що сказати,сарказму мені хоч відбавляй",1314124869
21,1922495,2024-01-03,Поряд зі складом?,1051472106
21,1922496,2024-01-03,Та я іронизую шо ти доєбався,1314124869
21,1922539,2024-01-03,"Це не іронія, а вульгарний сарказм!",1362056824
22,1919635,2024-01-02,Сарказм уровня Бог😆👌,914987756
23,1911650,2023-12-27,Так я ж кажу шо ти тупа. В сарказм не тягнеш,550042426
24,1911642,2023-12-27,"А в кацапії нема мозгів, шоб не зрозуміти сарказм",550042426
25,1907664,2023-12-26,"Особливо Буковель в огні, так. Можете побачити, що судячи по чергам там- в нас дійсно як в Китаї людей, напевно. 
Всі ці балачки про ""ніким замінити"", ""фронт впаде"" для мобілізованих і їх рідних виглядають вже як сарказм та насмішки. Враховуючи на життя, яким спокійно живуть інші військовозобов'язані.",5827895111
26,1904795,2023-12-23,"Ага , путлєру так не повезло, так хотів щоб Порох переміг вибори і так переживав, що той програв😂😂😂",5060594722
26,1905110,2023-12-24,"Згадайте ,як раділи на всіх руснявих каналах ,що вибори виграв Зеленський ,інтернет все памʼятає .Бо таку фігню ,як ви несете ,вам можуть розповісти на 1+1 ,або на марафоні",709352009
26,1905178,2023-12-24,"Світлана, я перепрошую, Ви неуважно мене прочитали, я якраз про це і говорила. Сарказм стосовно того, що центри Гончаренко оплачує раша, бо Порошенко ж теж зелені закидають це, хоча всі знають що найбільшим ворогом Путіна був Порошенко під час виборіа",5060594722
27,1904698,2023-12-23,Пан Гончаренко заважає мутки в ВР робити. Бідний голос (сарказм),550042426
28,1903212,2023-12-22,Сарказм??,5180609445
29,1902733,2023-12-22,ЗЛНСК - ПНХ!!! ПОРОШЕНКО - РЕАЛЬНИЙ ПРЕЗИДЕНТ УКРАЇНИ!,5873337494
29,1902736,2023-12-22,"Вам значення ""сарказм"" знайоме?",1002539549
29,1902742,2023-12-22,"Так, але зараз якось не до розглядання сарказму. Ботів багато.",5873337494
30,1902731,2023-12-22,Слава Зеленському і його виборцям!!!!,1002539549
30,1902733,2023-12-22,ЗЛНСК - ПНХ!!! ПОРОШЕНКО - РЕАЛЬНИЙ ПРЕЗИДЕНТ УКРАЇНИ!,5873337494
30,1902736,2023-12-22,"Вам значення ""сарказм"" знайоме?",1002539549
31,1894725,2023-12-17,,6675555038
32,1885630,2023-12-13,"140 млн довбойобів. Шо ти тут ціну набиваєш, син поєботи? Союзнікі вас нахуй послали. В карєє ракети ще при дєдушкє лєнінє робились. Точні піздєц. (Для пропитих дебілів останнє речення сарказм) А Китай сказав ""ідітє нахуй но пєрєд уходом організуйтє компенсацию в 2 ляма"". Ірану не до вас, там Ізраїль пиздить підарасів. Турки відмовляють вам в пмж, угорщина вилетить з ЄС. А ми єбанем по мосту так шо ви знов будете нити. Сиди йолопіо і не ний",550042426
33,1874052,2023-12-09,"Експропріатори в заможних куркулів Київа - це ок. Не не ок - забирати все (!) зерно у людей з малих міст та сіл і спокійно жити. І говорити, що голодомор - це ""ворожа пропаганда"".

Якщо пройтися по ангарам та сараям - ми дійсно зможемо сформувати ще 10 залізничних составів поїздів. І зможемо надіслати їх в закрома родіни.

Ура таваріщі! ☝️😎

(обережно - сарказм)",1037546167
34,1870726,2023-12-08,"У даному випадку пишеться ""Києва"" та ""Київ""",733360916
34,1870743,2023-12-08,"+
Прийму до уваги на майбутнє 
Це зараз же найголовніше як хто пише",476247207
34,1870773,2023-12-08,"Я Вам відповів так щоб Ви особисто виглядали пристойно, тому що зараз реально зайве то це сарказм..
Як що до мови...мій побратим отримав поранення та дві доби лежав у соняшниках поки не почув що хтось іде. Взяв гранату та вже приготувався під ""Отче наш"" І слава богу наші хлопці які йшли говорили на українській..бо або всі загинули б або він промовчав і коли вони пройшли б номер від втрати крові..Мова воює та рятує. Це так..просто за для історії..",733360916
35,1866340,2023-12-06,"> Бо наші громадяни досі не мають чітких правил мобілізації та демобілізації.

Так, дійсно, це єдина причина. Як тільки її усунуть, так усі громадяни, включаючи можновладців, депутатів та їхні діти одразу рвонуть в окопи",951122811
35,1866354,2023-12-06,А без цих змін вони рвонуть ? Ну це типу ясно що ти хочеш сидіти дома а служать нехай інші,1296496415
35,1866360,2023-12-06,Це був сарказм...,951122811
36,1865487,2023-12-06,"Герои! Правда в прошлом, но все равно герои(посмертно)👍😊",1315129321
36,1865498,2023-12-06,"Герої чого, гівноїдства?🤔",5294611980
36,1865502,2023-12-06,"Это сарказм, видимо сложный☺️",1315129321
37,1863059,2023-12-06,"Новий президент України, а ви що не знали?",5061492916
37,1863087,2023-12-06,"Не смешить мої капці. Перший крадій країни, зрадник - презідент? Ви точно з рашки, бо те теж ваш проект, як і проект зехудоби. А місце дерьмака на нарах. Ви вже привели до влади нарика, тепер крадія-малороса ще на трон посадить. Точно курва з рашки.",791233937
37,1863088,2023-12-06,"Це був сарказм, якщо не зрозуміло",5061492916
38,1861342,2023-12-05,це жарт чи сарказм?!!!,488829411
39,1858100,2023-12-05,,6626729993
40,1854228,2023-12-04,"Це у вас такий сарказм? Він- то точно переживе, а от як переживе Україна, велике питання! 
Хоч би вдягнулися, як люди, а не як ті, хто вони є насправді - шаромижники",1384362240
41,1846326,2023-12-01,,1475982096
42,1842427,2023-11-30,Але єрмак триматиме стрій( сарказм),977979361
43,1839629,2023-11-28,Карпенко-Карий - порохобот? Треба примусити його переписати п‘єсу!!! Сарказм !!!,5601902180
44,1839226,2023-11-28,До чого тут армія? Говоримо за мову,5666309200
44,1839229,2023-11-28,"взагалі ні до чого: мова не до чого, армія не до чого! ну прям #НеНаЧасі",407805232
44,1839232,2023-11-28,Адекватно поясниш свою думку чи тільки сарказмом вмієш коли нема аргументів?;),5666309200
45,1838574,2023-11-28,"Що за сарказм ?! Київ і має бути більше захищений . Дякувати Петру Олексійовичу , за куплені їм ППО .До речі , я не в Києві живу  , всі з мізками розуміють , що так має бути .",5403891961
46,1834603,2023-11-26,"Ооо, ми розбили їм вікно! Оце достойна відповідь! Армія дронів в дії, відплата достойна! Тепер русаки будуть нас боятись! 

Сарказм, якщо що.  І це все? 😢😢😢",448448463
47,1833067,2023-11-25,"😱 О ну то шо на життя і плани тоді можна покласти хрест і жити одним днем ?, тепер зрозуміло чому так зросла кількість суїцидів - ні не дочекаються …🤬",527880671
47,1833164,2023-11-25,"Разве я сказала, что надо ставить крест на всём??
Странная вы...
Я только сказала, что веры в мольфаров нет. И надо быть готовым ко всему.
Но жизнь продолжается даже в таких условиях.
Я на днях купила целый букет декоративных еловых веточек. Новый год на носу...",1026597707
47,1833626,2023-11-25,Та це ж сарказм ))),527880671
48,1831481,2023-11-23,"Не розганяйте дурню, немає там сарказму.",466453403
49,1831275,2023-11-23,"Це дійсно гарне рішення і ідея, що чіткі строки служби полегшать і проблему мобілізації. Є велика різниця, йти на невизначений строк, немов назавжди, або йти на півтора року.
Для багатьох армія- це буде можливість заробити і це не сарказм.",5441998913
50,1831199,2023-11-23,"Та то ж сарказм був, не починайте розгоняти. Натяк на те, що всім по...ти на уйгурів, ніхто не помічає, що там відбувається геноцид.",958323632
51,1823577,2023-11-18,Це треба було ще зробити 24:02!,969567499
51,1823585,2023-11-18,Не хотите поехать помочь?,842090640
51,1823624,2023-11-18,"Тітонько, в мене член родини в ЗСУ з квітня 2022р. Так що ваш сарказм не за адресою.",969567499
52,1813502,2023-11-13,Ви хочете посадити Пастора ?  Кацапи зайшли в Україну ще в 2014,5471721079
52,1813538,2023-11-13,"кацап💩, так, він для тебе ""пастор кровавий"", тому бійся! 😁",6477606111
52,1813569,2023-11-13,"Те , що ви не знайомі з терміном "" сарказм""  , не моя проблема , а ваша. Людина написала   , що треба посадити тих , хто пропустив русню в Україну , не уточнюючи  час . От і все . До Пастора - лише повага.",5471721079
53,1812035,2023-11-13,,6035936725
54,1811913,2023-11-13,"Ну чому,передвиборча агітація проводиться,доречі,дуже успішно проводиться за допомогою тригерів,обсирань військових,опозиції.Наприклад,Андрій Ісаєнко,який на г+г серіалах світиться,сказав,що хоче повернення російської мови,щоб його донька мала почитати Чехова в оригіналі,не українських чи західних письменників,а Чехова.Іваніца нахвалює Зе,який він герой і як сам актор окропом пісяв,що Зе прийшов до влади та нарешті навів порядок(то вторгення це порядок),на Фаріон накинулися і до речі,в Азові пошкодували,тому що зрозуміли,що їх використала зесєкта..
Зайдіть в кожен паблік зелений,де раніше маскувалися,а зараз не про війну та військових,а Зе,єрмак,гетманцев-які маладци,пам'ятник ставити(сарказм)",476070493
55,1811051,2023-11-12,"Не, я проста ведаю што сарказм ды іронія былі накіраваны на тое каб мяне паддзець) Паддзела мяне - атрымай у адказ.",5717424534
56,1802138,2023-11-08,А діти тут до чого?🤦🤦🤦Дорослі дяді і тьоті хай один з одним розбираються,1498729427
56,1802141,2023-11-08,"й я ж кажу, ні в якому разі ніякого Майдану.",407805232
56,1802142,2023-11-08,"Якщо це не сарказм,то най буде",1498729427
57,1796034,2023-11-06,Якої? Православної? (сарказм),1312501717
58,1793511,2023-11-05,,476070493
59,1791498,2023-11-04,"І так, Пане Гончаренко, якщо ви ситуацію не бачите чи не знаєте, то в нас давно НАТО армія ( сарказм).
В частині давно все "" не на часі"" , стройка кабінетів, білити ьардюри, стригти травичку, збривати бороду бо комусь не подобається, і багато багато іншого.",377838935
60,1788413,2023-11-02,,600378106
61,1788411,2023-11-02,,600378106
61,1788412,2023-11-02,"Конструктиву не чекати, тільки унилий і заїжджений сарказм?",518498216
62,1787750,2023-11-02,,6035936725
63,1786804,2023-11-01,,5213817496
64,1779281,2023-10-28,https://www.youtube.com/watch?v=--yaUNc8z9g,6323288908
65,1778079,2023-10-28,"Коли совкі згадують ковбасу по 2,20 та як добре жилося, нагадайте їм, що ще був туалетний папір в асортименті, який коштував 3 коп. А дорогий папір 10 коп. але ціна не мало різниці, пальці все рівно ставали чорні.",414953205
65,1778088,2023-10-28,Только в совке выписывали гозеты что бы было чем тереть жопу 😂😂😂,5118526280
65,1778173,2023-10-28,"Дякую, що оцінили мій сарказм",414953205
66,1768106,2023-10-23,"Це що за насіння таке, що 4 мішка коштує 3,2 ляма грн??? Автор нічого не наплутав???",1290925868
66,1768671,2023-10-23,То сарказм ж!,5389470739
66,1768672,2023-10-23,"Я не зрозумів сарказму🙂.
Написали б, що миші з'їли - тоді було б зрозуміло😄",1290925868
67,1768671,2023-10-23,То сарказм ж!,5389470739
68,1760501,2023-10-18,"Сподіваюсь, що це сарказм?",1813145471
69,1760122,2023-10-17,"Боже, я видимо после твоей недолекции обязательно послушаю тебя и изменю своё мнение по этому поводу, ты так старался спасибо",790953892
69,1760135,2023-10-17,"Шкода,що нещиро дякуєш,""недолекцию"", з такими немає сенсу говорити,звичайний малорос !",6168469715
69,1760137,2023-10-17,"Это был сарказм, а так пошёл нахуй",790953892
70,1759231,2023-10-17,Це сарказм?,798706310
71,1759142,2023-10-17,Пий вчасно таблетки і не ходи голосувати: все буде добре 😉,5955211572
71,1759165,2023-10-17,Конструктив буде? Чи лише сарказм?,1485655538
71,1759175,2023-10-17,Це не сарказм: це мої щирі рекомендації.,5955211572
72,1759136,2023-10-17,Хто сказав що ми підтримуємо Ізраїль? Цахал дітей і жінок своїми ракетними атаками по житлових районах Гази вбив більше ніж Хамас. І хто з них тоді справжні терористи?,1485655538
72,1759142,2023-10-17,Пий вчасно таблетки і не ходи голосувати: все буде добре 😉,5955211572
