ConvThread,MessageID,Date,Message,UserID
0,1687543,2024-01-12,Сарказм 100 лвла,5514615405
1,1687385,2024-01-12,Рівень сарказму в цьому пості аж зашкаляює ;D,735288094
2,1683665,2024-01-10,"Карась, померти перепливаючи Тису шанс набагато менший, ніж в окопі. В окопах не 30, а мінімум 50%. 

Скажу дивну шизоїдну думку: якби держава (просто фантазія) гарантувала б кожному добровольцю жінку - від охочих не було б відбою. 

Чекаю хейту, коментарів, контраргументів, сарказму",929143089
3,1666237,2024-01-03,"І тепер маючи цей привід вони говоритимуть що всі українці нацисти і нас потрібно знищити ??
...напевно не даючи дружнім росіянам приводів вони взагалі перестануть воювати і покинуть всі окуповані території. 
Може якщо ми всі поставимо російські флаги на аватарки, вони не матимуть приводів нас вбивати і підуть ?🤔",214855686
3,1677358,2024-01-07,"Де розові очки купляла, в магазині оптики чи в дяді на ринку?😁",805822017
3,1677365,2024-01-07,Чув щось про сарказм?,214855686
4,1674747,2024-01-06,"Це зараз ліваки понавигадували купу штук, щоб особисті проблеми людей перекладати на оточуючих

Мене не рідко звинувачують в газлайтингу чи пасивній агресії😅

Зараз вже навіть кажуть, що сарказм це негативна риса людини🤷🏻‍♂️

Я не дуже поділяю такі ідеї, я за прямоту і прозорість, а не замовчування там чи лицемірство і оці пасивні агресії та інші нові терміни

Важливі мотиви та інтенції людини, коли вона говорить, а не те, як хтось це сприймає, бо люди завжди будуть сприймати неоднозначне за негативне, така природа

Зараз загалом у світі тренд, що індивід позиціонується, як дуже тендітна особа, а всі навколо мають боятись зачепити його почуття. Як на мене це все навпаки віддаляє тендітних людей від реальності і занурює їх у бульбашку рожевих  окулярів:(

Я максимально проти відвертого булінгу, бидлядства та невихованості, але раніше з цим було простіше, здавалось нові соціальні дослідження мали б покращити становище, але ніт

Бидла стало більше, а вразливих людей стало в рази більше

Я думаю це просто зараз такий період, впевнений, що в майбутньому світ стане знову більш жорсткий та суворий…хз це на краще, чи на гірше…",1123115525
4,1674767,2024-01-06,сарказм ще може бути ознакою рівня інтелекту вище середнього),375369670
4,1674780,2024-01-06,"скажімо так, не кожен розумний язвить, але серед тих, хто язва, рівень сильних й з мозком в голові вищий
ну це моя суб'єктивна думка
сарказм це вид гумору. а гумор допомагає справлятися з тим, що без нього не тащиш",375369670
5,1674731,2024-01-06,"з пасивною агресією прикол в тому, шо ти сам можеш дупля не відбивати, шо її використовуєш",375369670
