ConvThread,MessageID,Date,Message,UserID
0,1876241,2024-02-03,"Не розумію до чого тут ваша зневага і сарказм, поліція вже розпочала слідчі дії відносно цієї події",6546601006
1,1870171,2024-01-30,це типу сарказм? чи шо,251010869
2,1860195,2024-01-24,До чого доїб?),380555526
2,1860202,2024-01-24,"ну до твого видаленого комента. Вони точно не йшли пішки 600 км. 
Але ти думающий чєлавєчєк, подумай",229114828
2,1860206,2024-01-24,"Літералі було сказано, що 600км пройшли пішки, ало
До чого сарказм - поки не розумію",380555526
3,1859543,2024-01-23,"Застава це чи то не найкраще, що є в української судовій системі (без жартів та сарказму). Мазепу звинувачують ніби то в тому, що завдав шкоду державі на 7 мільйонів гривень. Заплатив заставу 21 мільйон. Абсолютно адекватно.",508227391
4,1852758,2024-01-18,"Тобто, телеграм ніхуя не анонімний? 🤔🤨",279726535
4,1852766,2024-01-18,"Так там наче в вайбері група була. І так, телеграм не анонімний. Завжди таким був",262879806
4,1852771,2024-01-18,Це сарказм був 😉😁,279726535
5,1843481,2024-01-12,"єба, ти геній",386467992
5,1843484,2024-01-12,Спс,386157168
5,1843487,2024-01-12,"це сарказм,",386467992
6,1841860,2024-01-12,"О боги, це коментар дня !  Без сарказму ...",816423688
7,1839356,2024-01-11,"Так я і кажу що це хуйня а не ідея. Сарказм, бро",218288893
8,1839260,2024-01-11,"ах ваш радянський союз! ви що, хочете як в совку??? зережим ж явно не його відображення і так, культу особистості та переваги політиків у військових питаннях не існує, ви що. Разом до перемоги. Ніяких розстрілів, ніяких термінів. Давайте писати статті та публікації в телеграмі, і разом уххх як злитись на тих, про кого добрий бубочка не знав",5310388093
8,1839267,2024-01-11,Єбать тебе попаяло,370159442
8,1839290,2024-01-11,"дякую культисту з дуже інтелектуальним (сарказм, а то ще не зрозумієш раптом) виглядом за думку. Слава партії. Вам може повісточку з поцілунком пані Мар'яни, чи ще рано за вождя помирати?",5310388093
9,1837738,2024-01-10,Тут ви не кажете про окреми,441874098
9,1837743,2024-01-10,"я говорю про більшість, це так",5592056812
9,1837748,2024-01-10,"я зрозуміла, я підтримала сарказм))",5592056812
10,1837731,2024-01-10,Всьо адін нарот 🌚,441874098
10,1837735,2024-01-10,литовці і латиши це як українці і расіянє,5592056812
10,1837741,2024-01-10,Це сарказм і висміювання імперськості росіян,441874098
11,1837559,2024-01-10,"Прибалти взагалі 🐘, такі маленькі країна, а надають так багато",863368865
11,1837606,2024-01-10,Прибалти це хто такі?,534897628
11,1837616,2024-01-10,"Вище людина мені все пояснила. Ви, як житель Литви, могли це також зробити, прибережіть свій сарказм для когось іншого🥱",863368865
12,1835144,2024-01-09,"Ще нічого не доведено!
Львів'яни у вишиванках не можуть красти на війні. Їх оббрехали.
Чекаємо слідства і рішення суду.
(сарказм)
А по суті, таких грінкевичів нам вистачить на рік і довше.",5702280812
13,1834521,2024-01-08,"Бо всі ППО поставили захищати Київ і Банкову

UPD: Піздєц народ твердий на лоба став. Вам як емоджі нігтиків не поставиш, то ви іронії і сарказму впритул не бачите)",238867271
14,1828525,2024-01-05,"Тому що для розбудови ВПК необхідно не 1, 2 або 3 роки. Для перемоги треба як збільшені поставки зброї від партнерів, так і розвиток свого ВПК. 
Поки ми розвинемо свій ВПК, то у нас всі чоловіки закінчаться (без сарказму або перебільшення пишу).",318015707
