ConvThread,MessageID,Date,Message,UserID
0,1026041,2024-01-10,Эта кровь потом перепродается или куда идёт?,238813996
0,1026054,2024-01-10,"Так, прямо в Трансильванію продають",129687974
0,1026056,2024-01-10,К чему этот сарказм? Не хочу сдавать кровь чтобы потом кому-то её продали за бабки,238813996
1,1024514,2024-01-08,чому ні? я просто спитав? запитання ж а не сарказм ),533538748
2,1023597,2024-01-07,,460688317
3,1023594,2024-01-07,"САРКАЗМ
Нам американцям похуй у нас емігранти з Мексики пруть і взагалі краще перейти на ізоляціонізм. А взагалі війна в Україні ведеться тільки для того щоб ВПК збагачувалось і взагалі ви пропагуєте війну. Чому ми взагалі витрачаємо гроші на інші країни, а не на себе. І взагалі хто сказав що Україна захищає захід і з чого ви взагалі взяли що пиня нападе на Європу (це нова теза з'явилася).

Приблизно таке враження складається якщо почитати те що в інтернеті пишуть, навіть не згадуючи навозну яму у вигляді твітера.",382649215
4,1021458,2024-01-04,Ти в сарказм не вмієш?,637329350
5,1020670,2024-01-03,"Ну якщо бла бла бла то хай адміністрація ок не пиздить а на кордон у повному складі поїде і перетне кордон
На власному прикладі хай повийобується сарказмом зі зрадойобних довбойобів)",1533767372
6,1020158,2024-01-03,Право на життя забрали в підлоги країни 🤬🤬🤬,560301710
6,1020187,2024-01-03,"Що там, методічку вже вивчив😂",804460865
6,1020199,2024-01-03,"О ні
Люди не зрозуміли ""сарказм""",560301710
7,1016012,2023-12-29,"Знову бл*дський сарказм.
Це дипломат чи учасник кварталу? 😬",1849149640
8,1013547,2023-12-27,"Так ітшки не юр особи, там ФОП.",367940620
8,1013603,2023-12-27,"Вгадай, який вид діяльності буде з податком 17%",697373854
8,1013612,2023-12-27,"Ну звісно ж айтішечка, вони ж зажрались

(Сарказм)
Сам айтішник, і наче й згоден платити ті 17%. Аби результат на всі 17% бачити",298116130
9,1011532,2023-12-26,"За її логікою, ви маєте йти на фронт, а не з родичами у теплому будинку сидіти, ЧОЛОВІЧЕ 😠",5127728049
9,1011539,2023-12-26,"Щоб в тому будинку було тепло, я або плачу за газ, або дрова для котла замовляю та колуном махаю",177709004
9,1011567,2023-12-26,"Це все звісно класно, але хто буде країну захищати??? 🤷🏻‍♀️
(Сарказм)",5127728049
10,1011508,2023-12-26,сучасні чоловіки теж не захищають державу а пивас дують під падіком,156037179
10,1011512,2023-12-26,"""сучасні чоловіки"".
Себто, за вашою логікою, абсолютно всі чоловіки України чи що?
Я теж ""під падіком пивас дую"", перепрошую?",5127728049
10,1011517,2023-12-26,"моя відповідь на закидон про узагальнення ""сучасних жінок"". дивіться на початок дискусії. це сарказм",156037179
11,1008881,2023-12-24,"Та ядерними не треба, але насипати Ізраїлю якихось вундервафен щоб вони іранські ядерні об'єкти розвалили було б непогано...",1275498002
11,1008890,2023-12-24,Люди у коментарях нажаль не розуміють що ядерні бомби можуть вирішити більшість проблем людства,437372486
11,1008910,2023-12-24,"Сподіваюся, це був сарказм.",1275498002
12,1003363,2023-12-17,"якщо відверто - стаття повне ЛАЙНО. В першій же частині розповідається, як дрібничка, як німці, як живий щит використовують полонених, потім як із-за френдлі фаєра розстрілють купу цивільних, але дивіться не переплутайте - умвсьому винна британська пропаганда. Яка так вміло використала якейсь розпяття ніби офіцера. Авто реально дібіл? І не бачить різниці між життям одного офіцера та сотень вбитих цивільних? І вже потім сам же автор розповідає, як медсестра спасала полонених, а її за це вбили, ще й задає дібільний сарказм - типу з неї зробила пропаганда майже святу. То нехай почитає хто такі святі, її вчинок реадьно підпадає під такий статус.
Ну а про Луізитанію взагалі повний дегенератизм - англійці самі винувати, бо їх попереджали, що будуть топити. Ну себто пасажири Луізітанії - винуваті, а от субмарина, яка потопила нічого страшного не зробила.
Звичайно пропаганда була є і буде, але шити тут прям з брітів  вчителів Геббельса, це просто дно, або заказуха від московії. Автор просто кончений.",986466574
13,999710,2023-12-13,СТОП ШТО ЄВРОСОВОК СТАВИТЬ НА ЛІБЕРТАХ ?,1080720924
13,999712,2023-12-13,"Що за новомодний вислів ""євросовок""? В чому його сенс?",385998084
13,999713,2023-12-13,Це взагалі був сарказм,1080720924
14,999002,2023-12-12,"Підсумок цієї історії: ""Головне, що найбільші антисеміти живут в Україні"" (сарказм)",180450440
15,998199,2023-12-12,Це сарказм),475255470
16,996748,2023-12-10,,1315076069
16,996751,2023-12-10,"Та ні, ванюш, кацапізм не має ані етносу, ані національності, ані навіть печатки в паспорті. А їхати на росію тобі навіть не доведеться, бо ти й так там, а в Україні тебе щонайбанальнішим чином кинули б до буцегарні суто за твою вроджену недоколиханість.",285199946
16,996772,2023-12-10,Це супер тонкий сарказм чи всерйоз?,567904519
17,996688,2023-12-10,В нас би це строїли 20 років за трильйонів доларів,2039810590
