ConvThread,MessageID,Date,Message,UserID
0,339522,2024-01-30,"Ото ці родичі.🤌🤌
Коли мені було 15 погнала і в ріст і в вагу відповідно, але вона була в рамках норми як медично так і для мене особисто, але кожен раз як мене бачила тітка то хапала за щоки і приговорювала ""ото як розкабаніла на чістом слівочном"". Коли це почула моя мати то обурилась і спитала, яка ж вага потрібна дівчинці на її думку, то без сарказму і без жартів, почула у відповідь ""як у Оксанки"". Оксана це молодша сестра тітки, через проблеми зі здоров'ям ще з дитинства вона страждала анорексією і її максимальна вага була в 35 кг і до 30 років вона так і не дожила.",5891110635
1,335221,2024-01-14,"Тому я боюся покоління альфа. Я сприймала це як сюр, рефлексувала. Сарказм. Але ж менші цього не розуміють,не знають її історію в політиці. І це страшно, тому я перестала підтримувати ці меми. Якби всі були просвітленні в історії, то б це не була така проблема. Але наступні покоління",1054118152
2,333399,2024-01-07,"Дуже багато жовчі в ваших заявах,вам не здається?",5015586658
2,333400,2024-01-07,А недоліки будуть?,71836269
2,333401,2024-01-07,Я розумію ваш сарказм)вам теж це подобається?,5015586658
3,322401,2023-11-23,"Переживаю, аби не втратився його стиль, але тобі як людині з індустрії краще зрозуміло (не сарказм)❤️",442026586
4,317762,2023-11-07,"мені здавалось, шо добре викупаю сарказм/сатиру, бо сам плююсь нею направо і наліво, але як вже зверху підмітили, в цьому кейсі навіть і не подумав про то, шо він несерйозно",571785761
5,316828,2023-11-04,,737555703
6,316446,2023-11-03,без сарказму*,571785761
7,312398,2023-10-21,"сарказм, іронія, гумор, сатира...",667743440
8,311964,2023-10-20,/сарказм,298459715
9,307149,2023-10-04,все тому що туча ВИННА в просуванні патріархату,281196442
9,307154,2023-10-04,"Ооо приступи маразму, а я думав тут прогресивні люди",6205945887
9,307157,2023-10-04,"Ахаха, коли людина не викупає сарказм, то це одразу показує рівень критичного мислення",478467912
10,304148,2023-09-27,1 в 1 прямо (сарказм),543137515
11,302425,2023-09-25,"Я в шаленому захваті, справді! Без краплини сарказму.
💔❤️‍🔥",391533459
12,296154,2023-09-13,"«Мєлочіться», «общжпонятного», «авдиторію» – нічого більше не непокоїть?",72454118
12,296160,2023-09-13,"мій сарказм мене не непокоїть. мене непокоїть, коли прогресивна блогерка публічно навʼязує «крутість» англійської мови, коли багато хто з наших співгромадян ще не вилікувався від «крутості» російської мови. у нас є українська, вона крута, багата і вичерпна. навіть для жартів 😉",892187521
12,296178,2023-09-13,"«Сарказм», «прогресивна», «блогерка», «публічно» – це вже якийсь мета-сарказм чи банальне незнання рідної мови?",72454118
13,296148,2023-09-13,"непокоїть ваше скерування думок у бік общєпонятного англійського язика, ще й на авдиторію",892187521
13,296154,2023-09-13,"«Мєлочіться», «общжпонятного», «авдиторію» – нічого більше не непокоїть?",72454118
13,296160,2023-09-13,"мій сарказм мене не непокоїть. мене непокоїть, коли прогресивна блогерка публічно навʼязує «крутість» англійської мови, коли багато хто з наших співгромадян ще не вилікувався від «крутості» російської мови. у нас є українська, вона крута, багата і вичерпна. навіть для жартів 😉",892187521
14,294274,2023-09-07,Вітаю транс люди живуть з цим🎉🎉 the more you know,298459715
14,294276,2023-09-07,"забула додати - якщо трансжінки це жінки, то сексизм - це невід'ємна частина життя жінки. тобто це не трансфобія, а бум - норма 🤷🏻‍♀ вітаю",81888033
14,294279,2023-09-07,я бачу ти дуже добре розумієш транс жінок і як їм живеться /сарказм,298459715
15,292371,2023-09-01,"та, самі пісні класні по формі. був їбанутий потенціал, як у артистки. але шось любить обсиратися, і робила це доволі стабільно",571785761
15,292379,2023-09-01,"я зі сарказмом то казала, вона любить обсиратись більше, ніж дихати",401349956
15,292380,2023-09-01,"сорі, інколи з сарказмом не дружу",571785761
16,292368,2023-09-01,"шкода її, класна артистка
погані ж не спекулюють і не юзають пісня Скрябіна, щоб прикрити свої зашквари.........
ем ай рон?",401349956
16,292371,2023-09-01,"та, самі пісні класні по формі. був їбанутий потенціал, як у артистки. але шось любить обсиратися, і робила це доволі стабільно",571785761
16,292379,2023-09-01,"я зі сарказмом то казала, вона любить обсиратись більше, ніж дихати",401349956
17,289817,2023-08-26,"але вона дитина не проста, то включила свою язву, завалила сарказмом і пішла. чувак бідний пішов купувати пиво собі, не витримав певно",571785761
18,288022,2023-08-22,хтось чекає?,704885696
18,288023,2023-08-22,"А як же, пропустить альбом від любімки — це гріх

/сарказм",442026586
19,286656,2023-08-17,Я вахуї,1529724199
19,286658,2023-08-17,Це ж сарказм,1408358320
20,280639,2023-08-02,Вона сама про це сказала),281196442
20,280641,2023-08-02,"Оу, тут вже цікаво. Дякую, що сказали про це",737555703
20,280642,2023-08-02,"Без сарказму, я щира, якщо що",737555703
21,278146,2023-07-26,Мдаааааа русня як завжди,71836269
21,278151,2023-07-26,Невже ніхто не викупив сарказму?,1258078210
21,278155,2023-07-26,"Сарказму в чому? Це ж йому пишуть, а не він",71836269
22,278153,2023-07-26,Я Слідана трохи дивився раніше тому впевнений що це сарказм.,1258078210
23,278146,2023-07-26,Мдаааааа русня як завжди,71836269
23,278151,2023-07-26,Невже ніхто не викупив сарказму?,1258078210
23,278152,2023-07-26,Складно в сарказм без інтонації,151565462
24,278146,2023-07-26,Мдаааааа русня як завжди,71836269
24,278151,2023-07-26,Невже ніхто не викупив сарказму?,1258078210
25,268224,2023-07-08,я просто про своє навалив і ти така «дякую за підтримку»,391255277
25,268236,2023-07-08,"та це не сарказм,мась",798938507
26,267383,2023-07-07,"це десь такий вайб типу чоловік може обрати жінку по пяні, а як прокинеться, раптом зрозуміє, що вона негарна і не хоче мати її за дружину",281196442
26,267387,2023-07-07,"вайб чоловіки терпіти не можуть своїх жінок, а жінки намагаються затягнути чоловіків в шлюб, а чоловікам цього не хочеться взагалі, хаха як це дотепно і правдиво(сарказм) 🤢🤢",151815635
27,261213,2023-06-28,Такі цікаві ці провокатори. Хіба можна розбиратись у всіх музикальних жанрах? Дякувати що в нас взагалі хтось працює на розповсюдження української музики,641384215
27,261216,2023-06-28,"Ми просто не розуміємо, вони розбираються ✨(сарказм )",5039705248
28,260301,2023-06-28,"1.Гоня має приколі композиції, тільки вони не такі відомі серед публіки. 
https://www.youtube.com/watch?v=cg32wI8GYFE
і мікси 
https://soundcloud.com/jointjay/jointjay-bronepoizd

2.Гоня і Паліндром колись разом працювали , Глава 94 - їх спільне дітище. 
https://www.youtube.com/@glava94

3. киданя лайном на Калуш і інших, як от зараз на ТучуЮ - це ніщо інше як пенсіонерний вік. Гоня давно на сцені порівнюючи з вище зазначеними,по суті він мтарожил УА.хопу. 

4. про нац меншини - він нашось бовкнув...  тут вище в коментах бачив, чо на основі гендеру навалював хтось... фемінізм - завдяк таким думкам чи навіть індивідам скочуєтся в банальне болото шабкозикиданя і верещання... Особсто мені хотілось би бачити  усі світоглдяні рухи на щабель вищими в українському огранленні, інакше ми нічим не кращі москалів... 

Може варто замислитись на українським як виявом нашої елітарності , а не такоїж меншовартістності і зсвуванню в неї? 

хочеш довест свою думку - скажи як Забужко, хоче вказати біль - скажи як Шевченко у поднанні з Костенко і Л.Українкою, хочеш нагайку люті звести - скажи словами Сковороди і хитрістю Богуна, хочеш доконано - дій як найкращі з нас.

5.  звичайно не нормально що він навалює гівно в сторони, та і виглядає він нарваним... Поки в нього не має загонів в напрямку узкава міра - все те щовін робить я сприймаю як УкрАшоубіз.

6. ну і слухати не перестану. 

7. для мене не проблема вимкнути усе московське , я вимкнув усе ще в 13 років, але для мегне проблема коли я бачу цікавих для мене виконавців, і коли хось з них кидаєтся лайном, а інший показує пальчиком. Треба нее пальчиком по-казувати а включати гострий сарказм, чи явти свій інтелект у препаруваннні цього випаду і зробити власний філіґ раний випад!",387361278
29,259413,2023-06-27,"ви якось не европоцентричці, пані",448079383
29,259416,2023-06-27,Не поняла,798938507
29,259419,2023-06-27,Це був стьоб. Нічого особистого. мобуть сарказм не прочитався. Перепрошуб за це,448079383
30,258446,2023-06-26,люди я на психоделах,439848471
30,258448,2023-06-26,Яких?,6174941874
30,258451,2023-06-26,це сарказм,571785761
31,256567,2023-06-23,Це магічне мислення,6174941874
31,256582,2023-06-23,Наче нє?,6174941874
31,256585,2023-06-23,та то сарказм,571785761
32,256557,2023-06-23,робити маніфест на смерть путіна,943611063
32,256567,2023-06-23,Це магічне мислення,6174941874
32,256574,2023-06-23,А це хіба не був сарказм?),478467912
33,255765,2023-06-22,Бачу хтось дуже сильно не розуміє жартів. Навіть смайл в кінці не допоміг,1258078210
33,255775,2023-06-22,"Є жарти, а є «жарти»",6174941874
33,255776,2023-06-22,Так то ж сарказм,1529724199
34,253054,2023-06-17,Занадто мало українських символів!,1258078210
34,253130,2023-06-17,Якраз такі «патріотки» прапорами більше всіх обмотуються,641384215
34,253131,2023-06-17,Так і я про те тільки на мові сарказму,1258078210
