ConvThread,MessageID,Date,Message,UserID
0,488621,2023-07-23,"5 тисяч вагнеревців проб'ють ""калідор"" і бульбаші полізуть і нам хана",863885724
0,488644,2023-07-23,"Ви серйозно вважаєте, що 5 тис вагінерів можуть щось подібне зробити? Якщо вони будуть лізти, то може їх будуть вбивати, а не дивитись.",933843111
0,488645,2023-07-23,Ви серйозно вважаєте що це не сарказм 🤨 серйозно???,863885724
1,487883,2023-03-24,"Гарна ініціатива. Вона поверне мільйони українців, вимушених жити за кордоном, які тепер не бажають повертатися. Обережно. Це - сарказм.",841237348
2,475189,2021-06-13,це був сарказм,308308899
3,474992,2021-06-04,ні. мене бісить коли пишуть білоруською. я би хотів спиратись на те правило і посилати їх куди подалі. але якщо вже правило не відповідає дійсності - перепишіть його.,308308899
3,474996,2021-06-04,"Не використовуй сарказм там, де він не доречний",507262628
3,474999,2021-06-04,"який сарказм? я ж не їду в Польшу, наприклад, і на похуй розмовляю там українською - ризикую бути посланим. так само і білоруси - приходять в український інформаційний простір і пишуть білоруською. як на мене це не корректно.",308308899
4,474990,2021-06-04,"Ти робиш проблему на пустому місці, а бо не так, ти провокуєш на пустому місці, бо ти прекрасно сам і все розумієш, бо такою же думки, про використання мов, окрім мови країни-агресора",507262628
4,474992,2021-06-04,ні. мене бісить коли пишуть білоруською. я би хотів спиратись на те правило і посилати їх куди подалі. але якщо вже правило не відповідає дійсності - перепишіть його.,308308899
4,474996,2021-06-04,"Не використовуй сарказм там, де він не доречний",507262628
5,474599,2021-05-24,"оу, Юля, ну що за ейджизм?)))))",524101268
5,474600,2021-05-24,"16 річний підліток ізголяється, до чого тут ейджизм?",507262628
5,474601,2021-05-24,"камон, то сарказм) схвалюю зауваження. бо він цілий день якусь діч пише",524101268
6,474026,2021-04-23,"Ем, 7 років мовчав. Ти бачив там щось смішне? Звідки стільки сарказму в твоїх словах.",658892746
7,471696,2021-02-04,"Такі неоднозначні варіанти, що складно вибрати один правильний. Я б обрав «потрібен справжній локдаун», але там немає позначки «сарказм».",133534819
8,469774,2020-12-11,"Це картина безбатченка. Все, що людина сприйняла як образ тата. Сумно...",916544159
8,469779,2020-12-11,"Як можна сприймати образ тата, якого я ніколи не бачив. Це не більше ніж сарказм. От я тата запам’ятав таким.",93260642
8,469877,2020-12-13,"Так і я ж про це. І сарказм вловила. Сарказм це ж не гумор, чи не так? Радше намагання обсміяти проблему. Хоча знаєте....бувають такі батьки, яких би краще ніколи не знати. Зате у вас була чудова мама.",916544159
9,469779,2020-12-11,"Як можна сприймати образ тата, якого я ніколи не бачив. Це не більше ніж сарказм. От я тата запам’ятав таким.",93260642
10,464324,2020-09-28,За свинарчуками хтось займав ?),519726636
10,464325,2020-09-28,"шо свинарчуки? де справа, вирок і оце все?",807654390
10,464329,2020-09-28,Блет Катя дай табличку сарказм,519726636
11,463769,2020-09-28,,807654390
11,463771,2020-09-28,то був сарказм,549581588
11,463773,2020-09-28,"ну ясно шо сарказм. 
ніяка меліровка не дорівняється до сивочолости",807654390
12,463767,2020-09-28,класна міліровка,549581588
12,463769,2020-09-28,,807654390
12,463771,2020-09-28,то був сарказм,549581588
13,463563,2020-09-28,Питання: А Юрченко ще є нардепом від СН чи все ж таки ні вже?,624067515
13,463564,2020-09-28,"А хто це??
С - сарказм",329332992
14,463127,2020-09-27,Батюшка-стендапер буде депутатом Київради від ЄС,624067515
14,463129,2020-09-27,,549581588
14,463145,2020-09-27,Сарказм,624067515
15,458313,2020-09-21,Моя група - найкраща,488912728
15,458315,2020-09-21,сарказм чи справді?,524101268
16,454832,2020-09-17,"Моршинська))))))))))))))))) (сарказм, алюзія на знамениту суперечку Авакова і Саакашвілі))",624067515
17,454293,2020-09-17,наградні Максіми закінчились?,269459986
17,454294,2020-09-17,ахахха,451233556
17,454295,2020-09-17,"Турчинов був нагороджений кулеметом ""Максим"", - Аваков

Також він підтвердив, що кулеметом ""Максим"" був нагороджений екс-прем'єр-міністр Арсеній Яценюк. ""Так. У нас багато таких кулеметів зразка 1910 року ще з часів Першої світової. І його нагороджував, і Турчинова, і ще декого. І вважаю, що це було цілком заслужено і ніяк не шкодить інтересам держави. Це моя пряма функція і моє право, і я ним користуюся – тут немає нічого ""смаженого"". Але я порадив би всім нам іноді деяким людям у керівництві держави, які щось роблять, дякувати, а не тільки посилати їм вслід прокляття або сарказм"", - сказав Аваков.",269459986
18,454215,2020-09-17,І на рахунок скасування безвізу то був сарказм,380360837
19,447735,2020-09-08,Не я голосував за популістів останні 30 років,409784082
19,447749,2020-09-08,"Ти ні в чому не винний, Саша, не переймайся",507262628
19,447752,2020-09-08,"Ну так, я впливати міг лише на останні вибори, а сарказм використовуй в іншому місці",409784082
20,446666,2020-09-07,а куди ж корупціонерів саджати?,269459986
20,446667,2020-09-07,С-сарказм зарахован,507262628
21,446528,2020-09-06,Звідки знаєш?,832616383
21,446529,2020-09-06,Головне щоб не було як в Україні,451233556
21,446531,2020-09-06,Це сарказм?,832616383
22,442850,2020-09-02,Тсссс. ))) Головне що Порох - гівно))),329332992
22,442854,2020-09-02,,451233556
22,442857,2020-09-02,С - сарказм,329332992
23,437535,2020-08-26,"зайчики сердючки, то частина творчої україни",855378178
23,437541,2020-08-26,"Ти, сподіваюсь, це з сарказм ом говориш",832616383
24,431094,2020-08-18,точно щось сталось... може тебе в заручники взяли?,308308899
24,431098,2020-08-18,"Я завжди вважав, що 112, нюзван, зік, наш-хуяш ворожими медіа",624067515
24,431101,2020-08-18,ти сарказм вопше не детектиш...,308308899
25,429937,2020-08-17,"Та нормальна була 
Негони",451233556
25,429955,2020-08-17,Занадто хвалив одного вічного міністра,624067515
25,429957,2020-08-17,"мені здалось він більше з сарказмом це говорив, ніж серйозно. як власне і більшість розмови",524101268
26,429891,2020-08-17,,666819567
26,429946,2020-08-17,Нічошо це підйобка та сарказм?,93260642
27,429891,2020-08-17,,666819567
27,429910,2020-08-17,Хтось не може в сарказм.,517910360
28,429376,2020-08-17,"Знову 20 людей вийшло(сарказм, якщо шо)",1105207771
29,427043,2020-08-15,цікаво чому....,308308899
29,427045,2020-08-15,"Місцевих чатів є декілька в Телеграмі. З них 2 - на місцеву тематику, 2 - партійні чати (Шарій і Д7), 1 - для автомобілістів тощо.",624067515
29,427047,2020-08-15,Коля! То був сарказм.,308308899
30,423332,2020-08-13,"і не забуваймо, панове, порох у всьому винен",390979754
30,423335,2020-08-13,В усьому? Це маячня.,93260642
30,423350,2020-08-13,це був сарказм - сраказм і не більше.,390979754
31,421633,2020-08-12,Редактор знов забухав. Кіт з дому- миші впляс.,405054420
31,421634,2020-08-12,не. Це так не працює. Коли потрібно шось москві то це дуже видно по новинам,342990029
31,421635,2020-08-12,"Це сарказм. Звісно , монополія на все не полишає місця творчості і все шо йде в ефір узгоджено та має загальну мету",405054420
32,421189,2020-08-12,,405054420
32,421193,2020-08-12,А що тут смішного ?,464618522
32,421194,2020-08-12,сарказм,405054420
33,420943,2020-08-11,Стабільность,709735561
33,420946,2020-08-11,хто?,269459986
33,420950,2020-08-11,Це сарказм,709735561
34,417793,2020-08-10,Я розумію шо це сарказм,884428163
35,412897,2020-08-07,"ну в мене дядько колись працював провідником, в девяності. то був у нього випадок - якесь бидло хотіло дівчину згвалтувати. дядько заступився. не знаю хто перший за ніж схопився, але гвалтівник віддав душу. дядька на формальному суді виправдали. але щось не гриміло на всю країну і конвої в потяги не вводили.",308308899
35,412900,2020-08-07,тому що в дев'яності інтернету не було,195502393
35,412909,2020-08-07,"виходить, справа не у конкретному випадку, а в суспільному резонансі. то що ж це - Арсен грає на публіку?!!! о ні!!! (сарказм зашкалює)",308308899
36,412282,2020-08-06,Какая разніца ж?,390979754
36,412290,2020-08-06,Я вам що поганого зробила що ви тут кидаєтесь як скажений пес?,341612182
36,412305,2020-08-06,"не зважайте, пані, це сарказм, я контужений, тому звиняйте",390979754
37,412078,2020-08-06,"А чому заборонено контактувати з Кримом? Хіба є сумніви у його статусі de facto? (слухала сьогодні про вишиванки кусочок, дуже витончений сарказм)",564598151
38,410914,2020-08-05,"Слово ""сарказм"" тобі знайоме?",329332992
39,410641,2020-08-05,"От про ПФУ можу сказати, що там по обслуговуванню почесноку норм ФОП зайшов. І це без сарказму. 
А до цього я їх привчив. Бо заїбали демпінги і хабарники. Я їх 3 роки обслуговував- зараз ніт. І нічого",329332992
40,410223,2020-08-05,сарказм?,549581588
41,409654,2020-08-04,"ого , а ми і не бачили тут. взагалі не чули. прямо перший пост",269459986
41,409655,2020-08-04,,440769818
41,409656,2020-08-04,сарказм,269459986
42,405433,2020-07-31,Про Фокіна це сарказм?,893758426
43,397642,2020-07-26,Сама наявність такого Головнокомандуючого деморалізує армію,507262628
43,397644,2020-07-26,Це головнокомандувач миру сонця і тепла,451233556
43,397645,2020-07-26,"Тільки сарказм і залишився, бо далі тільки ""дурка""",507262628
44,395546,2020-07-23,,549581588
44,395548,2020-07-23,"Заздрить галичанам, дибіл",1132721624
44,395549,2020-07-23,(сарказм),1132721624
45,391632,2020-07-21,На ньому справа про незаконий обіг зброї,1105207771
45,391641,2020-07-21,Тим більше. Тобто чувак приторговував зброєю і МВС після цього закрила очі?,5221374
45,391644,2020-07-21,"Єдине, що можна сказати - Аваков потужний міністр(сарказм, якщо шо)",1105207771
46,375892,2020-07-08,дуже добре. одне зі знакових інтерв‘ю в нашій вітчизняній інтерв‘ювальній справі (нехай пробачить мені Роман),807654390
46,375893,2020-07-08,Непоганий сарказм),451233556
46,375894,2020-07-08,та це не сарказм насправді,807654390
47,375890,2020-07-08,І як?,451233556
47,375892,2020-07-08,дуже добре. одне зі знакових інтерв‘ю в нашій вітчизняній інтерв‘ювальній справі (нехай пробачить мені Роман),807654390
47,375893,2020-07-08,Непоганий сарказм),451233556
48,373377,2020-07-03,С- сарказм?,832616383
49,372859,2020-07-03,"Я розумію, що це сарказм.",644314698
50,372407,2020-07-02,"Встиг сьогодні здати долар по 100 на фейсбуці, а під вечір купив знову по 27.1 в обміннику. От я мамин спекулянт, нє?))",380360837
50,372427,2020-07-02,Як це?,342442182
50,372479,2020-07-03,Ну це я з сарказмом про крикунів шо всьо долар по 100. Станок щас як надрукує і т.д.,380360837
51,365672,2020-06-24,"Проти провокацій є єдина зброя - сарказм.
Чим більше хамят, тим більше посміхайся",507262628
52,364870,2020-06-23,"слуга народу, це типу в сарказм",390979754
53,364246,2020-06-22,"раптом що, всі попередні повідомлення я писав з сарказмом )",195502393
54,364080,2020-06-22,Має вступити в опзж))),826753101
54,364082,2020-06-22,це ще з якого хуя?,807654390
54,364085,2020-06-22,То був сарказм),826753101
55,362773,2020-06-21,Ну треба ж якось казну наповнювати( сарказм),329332992
56,362759,2020-06-21,ти написав із сарказмом. а я з серйозною пикою,807654390
57,361217,2020-06-19,вєра брєжнєва,269459986
57,361218,2020-06-19,Це її пісня?,451233556
