ConvThread,MessageID,Date,Message,UserID
0,579991,2023-06-02,"слова ""військовий експерд"" викликають більше сарказм, ніж серйозне ставлення... Черник це той чувак який кожен разу говорив що орки в паніці тікають, про атакамс казав минулого року що вже скоро буде.....)",416675185
1,574136,2022-03-24,тоді чому розповсюджуються фейки? (,416675185
1,574140,2022-03-24,"Інфофакт...... канал якому можна довіряти...


сарказм",108142390
2,564152,2021-11-04,"Се не так, комуну в окупованій більшовиками Україні очолювали євреї, і саме євреї були виконавцями геноциду українців на наказ Сталіна - на приклад Каганович, Уншліхт, Островський іх сотні. 
  Ще скажіть, що у олігархів нема національності 😁☝️",1900092212
2,564159,2021-11-04,"До чого тут олігархи? Якщо вже йти Вашою логікою євреїв... то Бойко, Шуфрич, Арістов.. то хто вони?..",1370750046
2,564161,2021-11-04,"Лише констатую факт вбивства євреями з ""НКВД"" Андрія Бандери за пів року до того, як самих євреїв там же страчували німці. А Бойко і Шуфрич ж се на побігеньках у анекдотичного персонажа Рабіновича)))
Та і чим се вам Бойко не сподобався, він же дійсний Герой України, не поважаєте Героїв України?(сарказм) 😂😂🤣",1900092212
3,562893,2021-09-26,Що можуть показати блогери на фестивалі? Як вони сидять за ноутами і блогерують? (не сарказм) Поясніть хто знає,898337497
4,554272,2021-01-27,Ага)а ще кроасани з кавою по ранках приноситимуть тобі)),476874321
4,554273,2021-01-27,"Ви так говорите, ніби це щось погане 😂",1319231008
4,554274,2021-01-27,Це сарказм,476874321
5,553813,2021-01-24,Що за сарказм до християнства?🤔,476874321
6,552188,2020-12-18,"Ага, а туберкульоз то тож не хвороба то бактерія.",387020128
6,552191,2020-12-18,Туберкульоз то хвороба викликана бактрерією (паличкою Коха).,108142390
6,552192,2020-12-18,Ого) це що конспект на основі мого сарказму?),387020128
7,552138,2020-12-17,,236297450
7,552139,2020-12-17,"045Л Зараз їду в поїзді 045Л Ужгород-Лисичанськ. Замовив у провідниці вагону 2 ""чая"", що по-довше розтягнути час під час читання книги. Через деякий підійшла провідниця та вручила два поліетиленових пакета.  

Я трохи оторопів, неочікував. Через прозорий пакет побачив паперовий стаканчик, запакований пакетик чаю, 2 стікери з цукром і палочка зі шпону для розмішування. 
Через кілька секунд мене осяйнуло це ж 
-Started pack Tea from Lvivska management Ukrzaliznytsia( стартед пак тіі фром львівска дирекція УЗ) "" limited edition"".

У розмові з провідницями останні повідомили що подібне ноу-хау, стосовно упаковки ""чайних наборів"" було уведено Львівською дирекцією УЗ.
Як я розумію, це все як заміна стаканів  і підстаканників.

Видали окремо паки зі паперовими стаканами, паків поетеленових пакетів-майки.

Упаковку цих "" Started pack limited edition"" - здійснюють у службовому купе , вручну самі ж провідники.

З моєї фрази, щодо оцінки цього стартед пака 
""- Укразалізниця - з думкою про Вас. В упаковці Hand-Made"" сміявся разом з провідницями, що якраз в той момент, здійснювали упаковку.

""-Кому прийшла з керівництва така світла ідея?"" - провідниці лише з сарказмом відповіли -
""-що наступний крок касові апарати в провідників з переведенням їх у статус ФОПів""😂😂😂.

Доречі, провідники були масках, якщо що.
А як  саме Вас приємно дивує УЗ?",236297450
8,551839,2020-12-08,ЦЕ Опитаннясерьозно або сарказм? бо я відповів думаючи це сарказм,302755194
8,551840,2020-12-08,Вся ця влада це сарказм😔,159532733
8,551845,2020-12-08,"Хах, наче в нас була влада «не сарказм»",387020128
9,551840,2020-12-08,Вся ця влада це сарказм😔,159532733
10,551839,2020-12-08,ЦЕ Опитаннясерьозно або сарказм? бо я відповів думаючи це сарказм,302755194
11,551217,2020-11-22,сарказм не може загубити сенс  головноi iдеi.ми тут про Революцiю говоримо..,515032787
12,551180,2020-11-21,"Що таке ""сарказм""?",477758732
13,551159,2020-11-21,"Що із формулюванням? Про які державні перевороти говорить Яневський? Для чого використовувати такі словосполуки, їх не вдосталь лунає з прарасєйскіх каналів?
Із сарказмом у всіх норм, я думаю, але це  опитування - ахінея повна.",788057970
14,551154,2020-11-21,Я бачу у людей тяжко з сарказмом...,464618522
15,551143,2020-11-21,То сарказм,415475446
16,550626,2020-11-07,"Народ, а шо нам з тих виборів США????? Чи Трамп, чи Байден, нам від того ніяким боком краще жити не буде))))) Долар по 8грн вже не буде ніколи🤣🤣🤣",781471259
16,550627,2020-11-07,"Щось мені підказує, що не доларом по 8 єдиним нам треба перейматися..
Але дійсно таке емоційне вболівання українців часом таки трохи смішить)",548924845
16,550628,2020-11-07,"То був сарказм! Просто останні кілька днів одні вибори в США. У нас вибори минули, ото веселуха, там такі чорти прийшли до влади, що Трампу з Байденом ще до них далеко!!!",781471259
17,550297,2020-11-05,"та ні, я ж кажу, все ок, це не сарказм",103970031
18,548679,2020-10-21,"Тими самими чинниками, що й до того",898337497
18,548684,2020-10-21,"тоді передаю привіт від знайомого лікаря, який помер, від родичів, які у важкому стані перехворіли (а до того ніколи такого не було), від 5х одногрупників, які в більшості своїй цілком здорові люди, від ще  кількох друзів і їх батьків, які також не хворіли таким без явних причин, і від себе особисто, який майже 2 тижні провалявся, хоча також вважаю себе цілком здоровою людиною, яка ще й багато років веде свідомо здоровий спосіб життя і хворів вкрай-вкрай рідко.

Якимсь чарівним чином все це відбулося протягом менш як півроку. Соупадєніє, нє? ))",80838925
18,548686,2020-10-21,"Співчуваю, без сарказму",898337497
19,548148,2020-10-04,Ющенко!!,624067515
19,548149,2020-10-04,Бляя,397873281
19,548151,2020-10-04,Це був сарказм,624067515
20,547778,2020-10-01,а я тут при чому? Миколі нехай санкції і видають.,308308899
20,547779,2020-10-01,Колективна відповідальність,681853418
