ConvThread,MessageID,Date,Message,UserID
0,3640254,2024-01-11,а почему в Израиле не закрьітьіе границьі?,326017926
0,3640280,2024-01-11,"Тому, що немає війни, довбойоб)
Їх країна у стані такого конфлікту половину своєї історії, долбоклюй. Загугли чи можна було з'єбатись підчас війни судного дня, або підчас будь-якої іншої великої війни  😉",443488114
0,3640302,2024-01-11,"по перше довбойоб ти, по друге іді нахуй, чєл якуто іронію сарказм викупай внатурі",326017926
1,3634909,2024-01-09,"IrinaMk за шо ви так?🥺😭
Запрошую вас на бутерброди до себе в СІЗО",6321820046
1,3634945,2024-01-09,"За что? 
Человек,  который претендует на главного оппозиционера и противника Хуйла,  просто умудрился себе в помощники набрать сказочных долбоебов,  это  непростительно. 
Это или тупость вестернов,  пытающихся его втюхать,  или хз что.  
Добавьте  вручение  ""Оскара"". Или выступление его дочери в университете.  
В общем,  обычное русское говно.  

P. S. Надеюсь,  вы не  спутаете моё мнение, сочувствие всем,  незаконно удерживаемым за гратами.",652663268
1,3634951,2024-01-09,"ІрінаМк, ви розумієте сарказм?

У мене на аві Навальний, на якому прифотошоплений брутальний одяг. Це сарказм. Ніхто свідомий з людей анального підтримувати не буде",6321820046
2,3630610,2024-01-08,Бо він дешевше ніж БК до хімєри 🤷‍♂,347174459
2,3630615,2024-01-08,"Так там с300 в наглу сидять, і навіть не маскуються",1045182949
2,3630626,2024-01-08,"Бо знають, що американські партнери захищають рашку від України, забороняючи застосовувати свою зброю по священній руській землі (хотів би я, щоб це було сарказмом)",1497079818
3,3626233,2024-01-07,ось і боті набігли дупцю захищати😄,5349365629
3,3626240,2024-01-07,"одного разу ти дізнаєшся значення слова сарказм, але не сьогодні",395634854
3,3626250,2024-01-07,"ну в принципі да, яка тема, такий і сарказм😏",5349365629
4,3626222,2024-01-07,"Досить розповсюджувати російське ІПСО. В неї багато бізнесів і звичайно вона робить це не безкоштовно. Знаю особисто по відгукам, що вона має гарну репутацію і не в курсі, хто там що мутить на місцях. Навіть чув що одного разу коли зламалася машина вона взяла жменьку яєць і самотужки віднесла їх під Бахмут, але під обстрілами вони випали і розбилися. Та списала вона їх не по 17, а по 10 гривень, відчуваючи провину.",123218256
4,3626233,2024-01-07,ось і боті набігли дупцю захищати😄,5349365629
4,3626240,2024-01-07,"одного разу ти дізнаєшся значення слова сарказм, але не сьогодні",395634854
5,3623157,2024-01-06,"В совку доречі єбались і дітей народжували, ви адмінш не наступайте на ці граблі, ви ж не в совку",495725644
5,3623161,2024-01-06,"Так це ж був сарказм, тому і додала «у тіктоці кажуть»",524910585
5,3623167,2024-01-06,"Переїв куті і мозок відключив сарказм, сорі",495725644
6,3623150,2024-01-06,"У тіктоці кажуть, що це прикол совковий. Бо тільки на свята тоді мали можливість нормально поїсти",524910585
6,3623157,2024-01-06,"В совку доречі єбались і дітей народжували, ви адмінш не наступайте на ці граблі, ви ж не в совку",495725644
6,3623161,2024-01-06,"Так це ж був сарказм, тому і додала «у тіктоці кажуть»",524910585
7,3601979,2023-12-30,"А отой ""кордон"", який між окупованою частиною і вільною? Його, цікаво, якось укріпили, закрили, убезпечили  іншу частину території, чи ще чогось чекають? Без сарказму, просто вже нічому не здивуюсь",5153128303
8,3599679,2023-12-29,"Здоровля тобі, діду! Без сарказму.",5091168994
9,3594489,2023-12-28,"кожен пост це блять якийсь крик сарказму ""перемога буде, люди"" 😑 

Чи це вже в мене здох зрад-радар🤔",662482931
10,3594269,2023-12-28,"Мабуть хтось з військових мем робив, а не такий самий ""не народжений для війни"" (сарказм).

А я згодна з адмінами. Прикол не в фото, а в цьому його форсі. Бо його форсять такі ж самі ""не народжені для війни"" люди явно не з окопів, але ж вони-то все розуміють, і кращі, ніж оце стадо. Ну типу, звинувачують у  байдужості інших людей, а самі такі ж.",544105112
11,3581545,2023-12-25,"замість хуйні з руснявого пабліку принесли би реальний текст закону, якщо там як раз те шо написано на скрінах, то до чого цей пост з сарказмом я хз",211582640
12,3576218,2023-12-23,"так а ти шо хотів? Я з вас просто ахуєваю, зараз іде війна найбільша після другої світової, такої війни реально не було з часів сорокових, а ти блін дивуєшся шо так сталося?",1826538356
12,3576226,2023-12-23,"Нічого, просто тут хтось не вірить, що професійного спеціаліста можуть звільнити. 

Звільняють і цілі професійні команди, які тягнули багатомільйонні проекти, бо для власника це ризикованіше, ніж довірити проект індусам які може половина зламають, але ризику що їх розірве на частини немає.",1836048720
12,3576231,2023-12-23,"все буде норм, от з чим з чим, а економіку будуть тримати партнери, згадаєш мій допис, я зараз без сарказму",1826538356
13,3575399,2023-12-23,"та який профіт, там же 1-2 людини з інвалідністю та й годі 😁😁😁",547610115
13,3575408,2023-12-23,"По перше, мова йде не тільки про модернізацію транспорту для осіб з інвалідністю, а про загальну модернізацію.
По друге, транспорт, як галузь економіки, сильно впливає на інші. Якщо коротко — розвиток транспорту стимулює розвиток інших галузей економіки.",703093303
13,3575416,2023-12-23,"це був сарказм, але дякую, що пояснив іншим 🫡

абсолютно погоджуюся та підписуюся під кожним словом",547610115
14,3568331,2023-12-21,,250931606
15,3565226,2023-12-20,шо,5138651624
15,3565234,2023-12-20,"Шо шо, маневреність в неї заїбісь, все як у людей. Не як у совєтскіх танків на озброєнні, які не можуть нормально назад здавати",552614311
15,3565240,2023-12-20,"а, є таке) просто звучало підозріло наче сарказм, сорі",5138651624
16,3555467,2023-12-17,"лол блять, в першу чергу держава повинна забезпечувати військо, те що ми вже 2 роки донатимо це крінжа, влада підорасів",718474366
16,3555635,2023-12-17,"а ще усі держави по нормальному мали б об'єднатись і без всяких зайвих думок давати бабки і зброю. а ще б по  нормальному було вигнати орбана з єс. а ще по нормальному сша мала б влаштувати такий самий потік зброї як совкам у вв2. а ще в ідеалі має бути мир у всьому світі, усі діти мали б знайти сім'ю, дітки з африки мали б перестати голодати, усі хвороби мали б бути поборені і єдинорожки мали б літати і какати веселкою. а в ітозі маєм ситуацію що або ми підтримуємо армію або нас всіх переб'ють. усе просто, тут уже стоїть питання нашого виживання",803511562
16,3555646,2023-12-17,"Не знаю, до чого тут твій в'їдливий сарказм та іронія. Але нам по-факту ніхто нічим не зобов'язаний, просто могли кинути нахуй. Та і процеси міжнародні складніші ніж ти думаєш. А держава повинна, підкреслюю ПОВИННА, це робити.",685993303
17,3554640,2023-12-17,"Окей, це нечуваний успіх, який увійде у всі підручники Вест-Пойнта. Вірю в контранаступ. 2023 — рік перемоги!",296709725
17,3554659,2023-12-17,"Запускай дрон, і хоч у вікно бункерного єбаш. Молодець 👍 Чекаю фото/відео фіксацію",1666082524
17,3554667,2023-12-17,"Я написав радісно-переможний коментар. Якщо ти вбачаєш в цьому сарказм — то проблема твого сприйняття. Не плач, друже зрадойоб, ми обов'язково дійдемо до Волги та Уралу.",296709725
18,3553152,2023-12-16,То знайди в чому проблема?,412390741
18,3553163,2023-12-16,,493642959
18,3553164,2023-12-16,Я люблю обмін сарказмом,412390741
19,3547817,2023-12-15,,125880025
20,3544490,2023-12-14,"Русняве ""ля"" у сенсі ""бля"" замість рідного українсткого ""ля"" у сенсі ""гляди"".",631667555
20,3544522,2023-12-14,"Це в яких краях ""ля"" означає ""гляди""?",319384276
20,3544703,2023-12-14,"Пігулки блять своїй тещі передай, це сарказм був ващєт",500534055
21,3544324,2023-12-14,"Ого, укр наступ продався шоколадному барону?(це сарказм не бийте)",441435417
22,3541526,2023-12-14,"Ну так це Укрнаступ написав чомусь про типово українське ім'я, хоча якщо бот на росіян орієнтований, то чому він має мати українське ім'я?",341825395
22,3541530,2023-12-14,"Ну це ж був сарказм, мужик)",999622518
22,3541536,2023-12-14,"Я про це і кажу, що сарказм не в тему.

А в тему він був би як би у підписі говорилось щось типу ""дякую що повідали правду про Арестовича, а то ми його тут всі любили"".",341825395
23,3541497,2023-12-14,"Дякуємо за пояснення, captain 🫡",999622518
23,3541526,2023-12-14,"Ну так це Укрнаступ написав чомусь про типово українське ім'я, хоча якщо бот на росіян орієнтований, то чому він має мати українське ім'я?",341825395
23,3541530,2023-12-14,"Ну це ж був сарказм, мужик)",999622518
24,3536215,2023-12-12,"Нічого, чєл. Ну реально, тільки даремно час наші витратили",733099084
24,3536218,2023-12-12,">Знищено базу даних податкової служби росії без можливості відновлення 
>нічого не дасть
Ок",513905556
24,3536221,2023-12-12,Та то сарказм був для вічно в чомусь невдоволених,733099084
25,3522037,2023-12-07,,1007472294
25,3522044,2023-12-07,"бля, ви сарказму не бачите?))) протріть очі))",284694707
26,3519935,2023-12-07,Шо таке прибалти?,503987514
26,3519941,2023-12-07,"Країни Балтії: Литва, Латвія, Естонія",1026219044
26,3519949,2023-12-07,"То був сарказм. Мене тригернуло слово ""прибалти""",503987514
27,3511195,2023-12-05,"Ну жодна гра з серії ГТА ще не була ні про чорних, ні багата ними. Базарю.",886245994
27,3511196,2023-12-05,"Ну ,а Сан Андреас?",699115965
27,3511200,2023-12-05,Це був сарказм щодо реакції на чорних в гта,886245994
28,3503883,2023-12-01,"Нє, ну італійська мафія та проросійські підсоси в урядах уйобщіни, Словакії чи ще десь - це хуйня, як і авторитаризм у Польщі. Інше ж діло - злиє ноцисти/фошисти/бєндєравци у власті, коториє спансіруют нєонацистскіє двіженія. Як гадаєш, як швидко у нас заборонять усі двіжухи по типу Правого Сектора, Азова, Центурії, Фрайкора і т.д. після прийняття України до ЄС? В жодній країні євро-совка немає навіть звичайних націоналістичних рухів, які б спонсорувалися державою або окремою групою бізнесменів. Чи розумієш ти, що всім цим рухам обріжуть, як мінімум, фінансування, бо це вже буде заборонено? Натомість, у нас на державному рівні прочнуть продвигати рухи антіфи, блм, лгбт, фем та іншої залупи. Нажаль, так і буде, і ми це схаваємо...",690472297
28,3503910,2023-12-01,"Чел) як казав мій знайомий чех, 
-Вам головне потрапити в ЄС.
У них там доречі половина державних свят це ""Бій з комуністами "" , і на цих мітингах одні  ультраправі організації в тому числі і з мілітарним уклоном.
Ну ок, покаємось, скажемо пацанам з патчами правого сектору і Азов постояти за кадром а потім все одно всіх виведено в спектор уваги)))
Нам головне з усім зараз погоджуватись , а далі ми їм ще блядь покажемо по чому в Житомирі огірки😈",5871795689
28,3503939,2023-12-01,"Як мені подобається твій оптимізм, мені б так (без сарказму). Мабуть, я вже не можу дивитися на ці речі без негативу. Мене тільки мільйонні дотації радують, як і, в принципі, любі гроші, бо я капіталіст по своїй натурі 😎",690472297
29,3502551,2023-12-01,"Муженко згадаємо, Хомчака ще можна, зразки професіоналізму офіцера і командувача що проявили себе в Іловайську (сарказм)",399085495
30,3489268,2023-11-28,"ну то як підпишеш, то через декілька місяців вже будеш думати, що і генштаб також потрібно зачистити). Особливо, якщо будеш служити на офіцерській посаді",985149074
30,3489288,2023-11-28,"Моя критика стосується і військового керівництва у тому числі,треба бути повним йобіком чи жити тільки на УН щоб не чути купи диких історій з фронту,про мертві душі у бригадах,скотське ставлення до ос ,всрату медицину і таке інше",481242313
30,3490072,2023-11-28,"А можете, будь ласка, розповісти про ""мертві душі у бригадах""?

Це в жодному разі не сарказм, просто я справді вперше чую такий термін в контексті військових, хочу дізнатися про це",5223326029
31,3485618,2023-11-27,"Ооо, і до нас приходить мода на доноси. (Це сарказм якщо шо. Я абсолютно за, щоб цю рижу бестію трохи прикрили)",5831969585
32,3484768,2023-11-27,"Так може якісь реальні дії треба робити? Як коментар в російській соцмережі,може покращити ситуацію на фронті? Без сарказму та сміху. Які є пропозиції, стосовно покращення для наших хлопців на фронті?",979040067
33,3479242,2023-11-25,"Окей, будемо брати й ховати всю правду за іронією та сарказмом, якийсь скотний двір вже, а не 1984...",6198266994
34,3476145,2023-11-24,хуй розбереш чи то сарказм чи то іпсо чи то довбойоб😔,602685913
35,3469867,2023-11-23,"Тут не усі такі вумні, тре ставити тег сарказм 😂",611029019
36,3465241,2023-11-22,"Читають і планують і страх шо їх будуть тут хуєсосити реально впливає на рішення, але в принципі це не страшно, бо замість Оксанок до нас завжди будуть раді приїхати Махмуди",469698992
36,3465262,2023-11-22,"Якість населення від цього впаде, та і єбалась та країна, якщо замість оксанок на вулиці будуть махмуди

Тоді який сенс продовжувати боротьбу?",199342804
36,3465264,2023-11-22,"це був сарказм, насправді же нам потрібні всі українці, а позиція адмінів є шкідливою для держави",469698992
37,3453896,2023-11-19,"Хто з цього придумає зраду, тому респект",603976434
37,3453902,2023-11-19,"Повернули одного школьніка, який з'їбеться в Польщу, а оборонці Маріуполя все ще в полоні",501133543
37,3453909,2023-11-19,Люблю українців за їх єдність і солідарність до співвітчизників. (Сарказм),6058591223
38,3445479,2023-11-17,,254336869
39,3431050,2023-11-14,"Ок. Історія циклічна. Так думали і в 39 році, й так само спокійно жили в своїх Франціях і Англіях. Нажаль людство теж не дуже все пам'ятаю та вчиться на своїх помилках. І їблан в тебе є хоч крихта совісті? Засунь свій сарказм в пизду собі, бо в тебе саме пизда",6378854356
40,3429171,2023-11-13,"Та він справжній патріот України і завжди ним був, я вірю в це, ніщо не вказує на протилежне",1968181616
40,3429219,2023-11-13,"Ви як давно за ним слідкуєте? «Патріотом» був до моменту збору потрібної кількості аудиторії. Перед крайніми виборами порох чи Зеленський почав «працювати»

Тому уважно передивіться всі його випуски починаючи з 2013 року. Риторика буде зрозуміла",329355770
40,3429220,2023-11-13,то був сарказм...,404223160
41,3426867,2023-11-13,"Таких саркастичних пів ляму по всій європі катається , але вже на серйозі ,без сарказму",739316332
42,3426593,2023-11-12,Це сарказм,383105122
43,3425445,2023-11-12,"Наступ даже часто, ще із часів коли він був пабліком Angriff Укр. у вк в сер. 10-х, різні дегенерати «какая_разніца» й «па пріколу» сприймали за постіронічний й метаіронічний, думали що «свої».
Але ІРЛ за усією цією мішурою мемів, рофлів і сарказму є справжня українська громадянська свідомість й любов до українства. 

Саме тому більшість так ставиться до рідного роду виродків - від похуістично-аполітичних деградантів до зйобків і оксанок. Не дивуйся цьому, так завжди було.",190094384
44,3410724,2023-11-07,так це сарказм,1668415750
45,3406887,2023-11-07,Та це ж сарказм,343496343
46,3400902,2023-11-05,"Да, бо то блять сарказм))))",308432208
47,3387997,2023-11-01,,298040314
48,3387939,2023-11-01,,319384276
49,3387882,2023-11-01,"Ну от адміни УН іронізують зі всього цього, а 90% довбойобів з чату за стільки часу повторення того сарказму - сприймають це за чисту монету і потім з розумним єбалом доказують, шо нам пизда, го здаватись. Вікно овертона, ніяк інакше",382738626
50,3355055,2023-10-26,"Хуй зна хто це, в твітерах не сижджу, але з першого погляду виглядає як сарказм. Мої вітання додікам зверху, хто не викупив.",660121673
