ConvThread,MessageID,Date,Message,UserID
0,144155,2024-02-24,"Вибамчте, мені ліньки табличку ""сарказм"" демонструвати🙃",242186999
1,138695,2024-02-08,Сарказм тримає у тонусі обох.,506217893
2,138692,2024-02-08,А довести до сарказму теж треба вміти.,698944088
3,135220,2024-01-29,Це сарказм?,5052448187
4,135141,2024-01-29,Як сумно ми живемо,242186999
4,135143,2024-01-29,от прям теж не погоджусь 😏…,300592003
4,135146,2024-01-29,"Вимбачте, табличку ""Сарказм"" вдома забув)",242186999
5,129289,2024-01-12,"Дивно, не такої реакції я від жінок очікував... Дуже дивно, капець ви жінки нелогічні",929143089
5,129368,2024-01-12,А на яку ви реакцію очікували?,5132200744
5,129370,2024-01-12,"Насміхання, презирство, їдкий сарказм",929143089
6,126808,2024-01-04,"Шо за сарказм? Шо за сумніви? Вага уже куплена.
Ще б вона щось робила😆😆😆",911057582
7,126070,2024-01-01,"Застрягла на другій серії, бо сарказм на тему кріпацтва дуже влучний і несподівано болючий.",510815449
8,120274,2023-12-11,"Та я ж хотіла пожартувати, можливо й вийшло невдало... Бажаю Вам, кохати її вічну вічність🙏

А про сніг- боляче сказали😭
Згадуй, та й плач😭

Любитиму, дякую😉",6232069063
8,120276,2023-12-11,Ви прекрасно жартуєте.,994711265
8,120277,2023-12-11,Це сарказм?,6232069063
9,118343,2023-12-04,"До кого ще не міжна дойобуватись? До пенсів і вагітних дітей? Бодіпозитивних і анорексичок? Військових і калек?
Видаляємо нахєр групу, який нафуй чорний гумор.",375240228
9,118344,2023-12-04,"Себе удали , фігня істерична",544691862
9,118348,2023-12-04,"Думав, у цій групі транспарант «сарказм» необовʼязковий. Помилявся.",375240228
10,115323,2023-11-25,вичерпна відповідь,1211851412
10,115337,2023-11-25,"Відео опубліковане 4 роки тому якраз коли були вибори, до чинного президента є багато питань, але чого ви зараз добиваєтесь цим всім? Блядь давайте виженем боневтіка і поставим пороха? Чи проведем вибори під час війни без врахування голосів купи людей переселенців, з окупованих територій,військових? І що далі?Камон народ ви йобнулись?",486951468
10,115341,2023-11-25,"САРКАЗМ БЛЯ, ІРОНІЯ БЛЯ? ЩО НЕ ЗРОЗУМІЛО БЛЯ? МИ ТУТ СМІЄМОСЯ БЛЯ",5156562384
11,114036,2023-11-22,"Ну так і я можу сказати, що боязнь чоловіків - чиясь особиста психологічна проблема",242186999
11,114037,2023-11-22,"Це якраз мені і казали вище, то була іронія) Я повністю розумію страх і недовіру до тих, хто може неправильним натисненням ноги вбити десять чоловік",50995844
11,114039,2023-11-22,Не зрозумів сарказму без смайлів) Тепер дійшло,242186999
12,114001,2023-11-22,"Ви ще скажіть, що ніхто з них не захотів непричетного потім посадити. Ага.",740961693
12,114003,2023-11-22,"Звісно. 97% жінок, які зазнали домагань, мріють посадити усіх чоловіків)",50995844
12,114005,2023-11-22,Може це не сарказм.,740961693
13,113229,2023-11-21,,5143509304
14,109194,2023-11-06,,801631640
15,109158,2023-11-06,,695038082
16,109149,2023-11-06,,5245961732
17,109148,2023-11-06,,544105112
18,108175,2023-11-02,"Ірусь, ти ж маєш розуміти, що не всі розуміють сарказм 😁
З іншого боку, нахуй вони в цій групі взагалі потрібні",5187738263
19,106540,2023-10-27,"Зовсім люди отупіли, чи що, нащо в дужках писати ні? Бо не зрозуміють сарказму?)))",1381429521
20,103584,2023-10-18,не сумуй. уяви як прикольно зараз бути Іваном в Україні),6159528428
20,103585,2023-10-18,"А що не так?

Несе Галя воду 
Коромисло гнеться 
За нею Іванко 
Як барвінок, в'ється…",375240228
20,103587,2023-10-18,https://www.youtube.com/watch?v=lV9q901vS6o&ab_channel=%D0%9C%D0%B0%D1%88%D0%B0%D0%9A%D0%BE%D0%BD%D0%B4%D1%80%D0%B0%D1%82%D0%B5%D0%BD%D0%BA%D0%BE,6159528428
21,103586,2023-10-18,"О, це по дорослому! Наріду треба пажосче!, Він сарказму не розуміє.",1791673458
22,102809,2023-10-15,"На такі зауваження тобі завжди скажуть, що нам не треба бути меншовартісними і зважати на те, що там скаже русня і трампони і тобі треба б було вже трохи подорослішати🤷",994711265
22,102817,2023-10-15,"Це було б вірно, якби ми більше ніж повністю не залежали від тих же трампонів та інших. А так ми вкладаємо меча в руки тих, хто проти нас веде інформаційну війну",172042084
22,102818,2023-10-15,"Завжди страждаю через те, що не вказую де сарказм/іронія.",994711265
23,99750,2023-10-03,"І у тебе насрано))) пост про якусь шмату, хтось згадав за діордіцу, а ви перекрутили на чувака, який робить одні з найкасовіших зборів на ЗСУ.
Повичищай лайно в голові.",568913299
23,99783,2023-10-03,"Збір зробили українці, а той чувак просто черговий розпіарений блогер",906847432
23,99797,2023-10-03,"Ну справедливості за ради, Стерненко це все таки не просто блохєр, як ""геній журналістики"" (очевидно сарказм ) Лачен, який появився з ніхуя",651715171
24,99482,2023-10-02,"Ага, а до цього вочевидь вона весь час тримала в руці москальського пісюна - через те й всі негаразди",300592003
24,99484,2023-10-02,"ніби український писюн гарантує, що все буде чудово!",1381429521
24,99493,2023-10-02,Сподіваюсь ви розумієте що то був сарказм. Чи треба було написати те що всі і так самі розуміють: «Боже яке воно йоьнуте🤦!» 😏?,300592003
25,99197,2023-10-01,"""Вузькохромосомна істота"", так-то",922475967
25,99198,2023-10-01,Так що ти сам підтвердив що чоловіки це вузькохромосомні ?,442407597
25,99199,2023-10-01,"Розгортай зошит і записуй сьогоднішню тему - ""Сарказм""",922475967
26,89178,2023-08-23,"Ну в вашому випадку це буде означенням вас особисто бо воно не матиме ніякого загального значення. Такий собі нікнейм. Те що нікнейм має бути умовно унікальним нікого не дивує.  У випадку з програмісткою воно несе стале значення ""жінка що займається програмуванням"". Це різні явища",503461494
26,89187,2023-08-23,Я зараз задумався... А існує programeress?,897455060
26,89189,2023-08-23,"Питання некоректне, оскільки для англійської мови фемінітивні форми не є органічними. На відміну від німецької, де для будь-якої професії можна створити цю форму суфіксом -in.

P.S. так, я в курсі, що декілька фемінітивних форм англійська має, але їх вкрай мало, і це більше схоже на виключення з правил.
Було б цікаво (я без сарказму) попитати лінгвістів, звідки взагалі ті фемінітиви там взялись",1566682043
27,79574,2023-07-20,"А от якби в нього був турнікет, а не жгут есмарха, може все було б інакше ... 
(Сарказм)",5287756173
28,78903,2023-07-18,"Ну не розумієте, буває. А комусь подобається їх робити. Це не означає, що існує якийсь фанатизм",50995844
28,78905,2023-07-18,"Ну да, ну да))",1023784029
28,78906,2023-07-18,"Проти сарказму нема прийому, він натякає, що ви щось там знаєте краще за мене. На ділі ж ми просто коментуємо картинку з чиїмось валяним вовняним Порошенком 😁",50995844
29,78648,2023-07-16,Тре було у кінці в дужечках написати (сарказм),5287756173
30,77504,2023-07-12,В чорному гуморі українською закиди щодо жартів/сарказму про смерть? Їбануться.,50995844
30,77505,2023-07-12,"А не в цій групі постійні збори військовим, які теж зараз помирають через виборців ""хоть паржом""? Вам ще смішно, юморістка ти наша?",2128239068
30,77506,2023-07-12,"Так, ахуєнно смішно. Але не зі смертей військових, а з жартів і сарказму, як і має бути здоровій людині. І тільки пиздуваті, заходячи в групу про чорний гумор, чекають, що там не буде чорного гумору. Сходіть до психотерапевта. Ну і не через виборців, а через русню. Чи русню вже ненавидіти немодно, вже знову співвітчизники винні?",50995844
31,77459,2023-07-12,"Зрада, ми всі помрем",50995844
31,77503,2023-07-12,"Єбануті під час війни і скількох загиблих сміють жартувати про ""ми всі помремо"". Геть вже ?",2128239068
31,77504,2023-07-12,В чорному гуморі українською закиди щодо жартів/сарказму про смерть? Їбануться.,50995844
32,75307,2023-07-04,"Блядь. Ніззяш так. А якби хтось почув? Не пояснювать же кожному, шо це фаптайм від ЧГУ, сповнений стьобу і сарказму...",136211444
33,74221,2023-06-28,Я так з Вами скоро англійську вивчу,5287756173
33,74263,2023-06-28,"Ти ба, а більшість тут деградує",813015346
33,74264,2023-06-28,"Ааа , сарказм ...",5287756173
34,70591,2023-06-15,Мої вітання. А я гетеро,1349507320
34,70592,2023-06-15,"Там сарказм, якщо що",344423241
34,70596,2023-06-15,"А я без сарказму, і? То з чого я почав? А, що можна було підтримати полонених азовців, але ж нахуй нада, якщо є райдужні, нє? І так, це мої переконання, і мені похуй на сарказми і все інше, у мене трохи інша реальність, яку я сприймаю не через бокал мохіто на пляжі. Тому вважаю зараз цю хуйню з прапорцями максимально недоречною.",1349507320
35,70582,2023-06-15,"А ці паради на кожному кроці зараз з нами в одній кімнаті? ПС. Клас, я - лгбт. Дійсно, а чому б і ні..?))",701067300
35,70591,2023-06-15,Мої вітання. А я гетеро,1349507320
35,70592,2023-06-15,"Там сарказм, якщо що",344423241
36,68807,2023-06-11,"Надпис на простирадлі Сарказм, під ним пам'ятник Робіну Вільямсу",5208212998
37,64465,2023-05-26,"Це сарказм, якщо шо;)",428453521
38,63330,2023-05-23,"бля, сказали б одразу шо то сарказм, я не в гуморі зараз",583617933
39,55032,2023-04-22,"UPD. Альо, люди, це ж йоб вашу мать, сарказм! Взяли мені Жадана обблювали🤦",994711265
40,48995,2023-03-28,"Пост повністю відповідає назві каналу. Гумор звісно специфічний і те про що можуть гірко жартувати військові, про це мабуть не варто намагатись жартувати цивільним. Але...
Людина запитала. Їй звісно відповіли. Звісно з ""прєвосходством"". Шановні... Перед тим як відповідати людям з сарказмом, або з докором, задумайтесь про те, що можливо в чомусь іншому ці люди розбираються краще за вас. А питати треба, бо тільки ті кого зацькували і хто боїться задавати питання залишаються в темряві. Не треба боятись і хвилюватись з приводу тих хто ""знає""! Є багато і тих людей, які без всякого розкажуть і пояснять.",1192273947
41,48686,2023-03-27,"Іноді дивуюся, що людям справді потрібна табличка ""сарказм"", щоб в'їхати",173351454
42,45973,2023-03-17,"Він так навчається. Нехай знає які ми дурні, може захоче влаштувати революцію термінаторів :)
Або, він буде розуміти що є іронія чи там сарказм.",551472101
43,45040,2023-03-13,"Вільно володію трьома мовами: іронією, сарказмом та не нормативною лексикою.",1956434228
44,41682,2023-02-27,Мабуть то сарказм,5672536642
45,36249,2023-02-04,"Добре шо я з тим не встиг погратися , бо прикола придумав , хтів ногу обмалювали , думаю до понеділка смиється -зітреця😃
Хтів намалювати емблєму ЧГУ , сфоткать , із сарказмом Вас запитати , чи не забанить мене лікар за несанкціоновану рекламу каналу ?😂🤣",5287756173
46,35298,2023-02-01,"Античний Рим і Греція, Вавілон - за виключенням жриць відповідних богинь, які через секс прислуговували своєму богу, повіями в основному були рабині і найбідніші верстви населення. Вважались по статусу більш низькими ніж просто раби.
Середні віки. О так. В часи коли секс вважався ""брудною справою"", дозволялось тільки після одруження і в місіонерській позі існували таємні борделі при монастирях))))
Епоха відродження. Ну про куртизанок я не сперечаюсь - це як гейші в Японії. Розумні повії, яких було одиниці на тисячі припортових повій, що зазвичай закінчували життя в стічній канаві. Звичайно це було престижно!))) Особливо якщо згадати історії відомих куртизанок і як вони помирали.
Зараз в ЄС повій прирівняли до інших професій. Ну кожному своє.",567238069
46,35318,2023-02-01,"І в нашій країні вже давно треба було прирівняти повій , до інших професій , легалізувати цю справу і оформити по людські .
Бо як у кацапів виходить , по закону все красіво та морально , а по факту є повії яких та держава у вигляді ментів кришує",5287756173
