ConvThread,MessageID,Date,Message,UserID
0,101134,2023-11-05,"Без гумору складно, особливо похідникам🥱",904071075
0,101135,2023-11-05,Похідники... Обожнюю це слово!,1462838390
0,101136,2023-11-05,Без сарказму,1462838390
1,97204,2023-08-03,То мабуть тре було щось смачне поставити в той оспрей на ніч і не підвішувати високо),92018115
1,97207,2023-08-03,"По сарказму лайк, але були снікерси на споді як і у сусідки, в який кут прогризли)",904071075
2,95387,2023-07-14,Універсальні речі не для вас?,508561322
2,95388,2023-07-14,"Та я все беру, на всяк випадок",420940714
2,95389,2023-07-14,"Зрозумів, сарказм 😅",508561322
3,94988,2023-07-07,"Можемо запропонувати похід на 5 днів горганівськими єбенями, не котедж, але теж весело😁",641140359
3,94995,2023-07-07,"З радістю , не цього разу … в нас лише 2 доби і діти (6 чол) з нами",204094145
3,94997,2023-07-07,То був сарказм,498302354
4,82135,2021-10-27,Демократія ж,337963264
4,82144,2021-10-27,"Те що відбувається зараз в Україні це не демократія, як власне й всі ці роки...",382512123
4,82147,2021-10-27,Сарказм,337963264
5,66115,2021-02-08,"так іжевськи килимки агресор виробляє, як так?",476139515
5,66116,2021-02-08,То був сарказм),420940714
6,65853,2021-02-05,це був сарказм,420940714
7,65522,2021-01-29,Та можна в 3 год ночі на говерлу видертися або зійти під час проходження потужного грозового фронту над нею якщо лише ціль - її безлюдність),92018115
7,65523,2021-01-29,В грозу не рекомендую. Для тих- хто не знає що таке грози в горах - томк взагалі краще не ходити в гори,1350280906
7,65525,2021-01-29,Та це сарказм),92018115
8,65358,2021-01-25,"Економія часу на привалах принаймні, холодна вода завжди в спеку), або гаряча в холодригу. Це не кожен потребує звичайно.",92018115
8,65361,2021-01-25,"Ні, не льогкоход )

Ну от я не можу чомусь собі уявити ситуацію, коли він став би дійсно потрібним.
Поки ти йдеш, тобі і так жарко, або принаймні тепло, тобі горяче пиття не потрібне.
Як зупинився вже на ночівлю, то перш за все готуватимеш собі їсти горячого. Так, можна потім не кип'ятити ще й чаю, а попити його з термосу, зекономиш трохи газу та часу. Але це і все. Потім тягатимеш той термрз з собою порожнім. А нащо?

Заварити собі чай у нього посеред походу теж незручно, бо мій кухоль має 500 мл, а термос 700. Тож доведеться гріти воду двічі. А нащо? Простіше просто випити кухоль чаю, та піти собі.

Я без сарказму питаю?
Мені справді цікаво - в чому ж ото його необхідність.",1548831499
9,62842,2020-11-30,То гуцули насраяли,469769754
9,62849,2020-11-30,То сарказм,469769754
10,61036,2020-10-26,Люди і там і там є)))) тому я при вході не поцікавилася за яку партію чат))),494113295
10,61037,2020-10-26,"Якшо шо, то в мене сарказм пре.",521610758
10,61040,2020-10-26,Це круто! Сарказм просто обожнюю!,494113295
11,61035,2020-10-26,Тут чат порохоботів🤫,521610758
11,61036,2020-10-26,Люди і там і там є)))) тому я при вході не поцікавилася за яку партію чат))),494113295
11,61037,2020-10-26,"Якшо шо, то в мене сарказм пре.",521610758
12,55351,2020-08-03,Дякую за сарказм,251726541
13,54429,2020-07-25,і що з того? До чого той сарказм?,476139515
14,52189,2020-06-25,"Але ще стрьомно самій їхати , хоч і дорогу знаю",395103049
14,52191,2020-06-25,"Якщо стрьомно, то не їдьте. 
Це не іронія, сарказм чи негатив))
Просто, коли багато сумнівів, певно, краще, відкласти похід 🙂",521894039
15,50460,2020-06-06,"Дочитав до ""є давнім святилищем"" проржав від душі і пропоную поставити рядом на горі ідола Перуна, коло брами Будду і так далі...",521610758
15,50461,2020-06-06,"Насправді не смішно, бо чорногорі й так дупа від людей вже",382512123
15,50463,2020-06-06,То був сарказм,521610758
16,43249,2020-01-28,Ще капка і будуть попереджувати про зміну дня іночі?😅,448221127
16,43265,2020-01-28,"Я не поняв твого сарказму 🤔 но добре хоть попереджують , хоча людська мораль дещо інша , люди свистали на ті попередження ))) а наслідок виходить інший - потім рятувальники йдуть збирати в горах трупи а також шукати заблуджених ))😄",775091478
17,40623,2019-10-30,"але дякую за діалог, було цікаво. (без сарказму)",420940714
18,40475,2019-10-25,"Це вобщє пост ""всіми"" любімого ультралегкохода Сашка Матури 😜 (про лєгкохода - сарказм, єсішо)",334749558
19,32189,2019-05-07,"Як то файно! (сарказм)
https://www.facebook.com/306802653415178/posts/429250621170380/?app=fbl",521610758
20,31452,2019-04-28,"Вам подарить табличку ""сарказм""?",390679866
21,28689,2019-03-25,Вітання всім! Хтось володіє інфою алгоритму здобутку категорій в походах Карпатами?,520885598
21,28693,2019-03-25,"завжди цікавило, а навіщо вам ті категорії?",558088111
21,28698,2019-03-25,То друга стадія розвитку пакарітєлєй))) (сарказм),521610758
22,20505,2018-11-26,"Якщо орієнтуватись на всяких психів-виживальщиків, то його опис походу якраз катить. Такі, коли вертаються з походу, всім розказують, як вони виживали без води, з останніх сил піднімалися на вершину у негоду, про рукопашку з ведмедем і т.д. Мене такі люди відверто лякають, бо за ними треба постійно наглядати, щоб воно з собою нічого не витворило. Короче всі такі персонажі - то його клієнти)))",259514474
22,20507,2018-11-26,ну не всі виживальщики психи! всюди є свої бичі,448221127
22,20529,2018-11-26,"Так, я вживав це слово з сарказмом. Я не мав на увазі всіх, звісно є адекватні люди всюди. Просто є окрема категорія туристів, які купляють тур в Карпати через 10 хв після того як додивилися останню серію, останнього сезону серіалу з Беаром Грілзом)))",259514474
23,19471,2018-10-27,Незнаю так сказали мені)),520805933
23,19473,2018-10-27,"Це був сарказм,якщо шо.Сьогодні прохолодно,завтра буде тепліше",474755453
24,19127,2018-10-22,"Та ні, тут же видно здоровий сарказм, просто фішечка гарна",558088111
25,16098,2018-08-15,"То був сарказм, якщо шо?)))",521610758
26,15722,2018-08-09,"Якщо один, то можна автобусом))",259514474
26,15724,2018-08-09,"А з квасів до ""цивілізації"" (сарказм) якесь таксі є? На 4-5людей. Якщо можна то дайте номер",521610758
27,13312,2018-07-04,Ви серйозно????завезти???з такими поглядами гори то не ваше!,477061204
27,13313,2018-07-04,Но хочется же фоточек для инстаграмчика(((,390679866
27,13327,2018-07-04,Щось у твій сарказм лише пару людей в'їхало),392590130
28,13303,2018-07-04,"Жаль, никто на ПИМ не берется завезти. Нужно, страшно сказать, пешком. А если еще и дождь... Ужас",390679866
28,13306,2018-07-04,сарказм?,568091682
29,11155,2018-06-08,"Олексій, а ти з мене ржав, коли я писав що хочу '' пакаріть'' петрос.))))",403371997
29,11156,2018-06-08,"Так я і тут якби не серйозно, хоча здаєттся і Ніна з сарказмом написала слово пакаріла)",558088111
29,11164,2018-06-09,"Звичайно з сарказмом)) все було проти підйому  шквальний вітер і дощ якби не рюк мене б на траверсі знесло вниз😅- це не я пакаріла, це Говерла дала добро, щоб я на неї все таки вийшла",195137219
30,11137,2018-06-08,Ніна файна пакаріла))),558088111
30,11155,2018-06-08,"Олексій, а ти з мене ржав, коли я писав що хочу '' пакаріть'' петрос.))))",403371997
30,11156,2018-06-08,"Так я і тут якби не серйозно, хоча здаєттся і Ніна з сарказмом написала слово пакаріла)",558088111
