ConvThread,MessageID,Date,Message,UserID
0,937252,2024-01-08,Круто(((,467404836
0,937255,2024-01-08,Та не дуже,1628478630
0,937259,2024-01-08,"Це сарказм...просто, здається,  29го ракети з ту летіли по тривозі в Києві,  ні? Бо я була в укритті вже...",467404836
1,936046,2024-01-07,-50,1628478630
1,936051,2024-01-07,Випив?,1222407850
1,936054,2024-01-07,Сарказм,1628478630
2,930382,2024-01-06,"Да это сарказм был 
Что здесь 24/7",5668985583
3,923399,2024-01-04,Може тобі ще борщ зварити і пампушки спекти?,467404836
3,923500,2024-01-04,Нє),1037110592
3,923528,2024-01-04,Це був сарказм взагалі то),467404836
4,920071,2024-01-02,,644419717
4,920081,2024-01-02,Ебнуте,5350223841
4,920085,2024-01-02,"Це взагалі-то сарказм 
Я мешкаю на Святошинському )",644419717
5,916478,2024-01-02,На все воля божа (це сарказм не бийте).😅,681903797
6,911688,2024-01-02,"Оо, це так турботливо 🥺",625825849
6,911713,2024-01-02,Це сарказм? А то я зараз щось погано викупаю посили…(,5652969417
6,911718,2024-01-02,"Ні, я без сарказму",625825849
7,911651,2024-01-02,"Настю, якщо ви чуєте ппо а не шахед це означає що він далеко від вас, отже не треба сильно прям перейматись, трошки побухкає і спатоньки",5652969417
7,911688,2024-01-02,"Оо, це так турботливо 🥺",625825849
7,911713,2024-01-02,Це сарказм? А то я зараз щось погано викупаю посили…(,5652969417
8,907705,2024-01-01,"Треба просто яму вже на городі копати, бо тут завжди щось комусь не подобається і клоунів наставлять)",399218378
8,907736,2024-01-01,"Когось на даний час хвилює коли воду святити, а клоун я. Ви чи діти, чи я Вас не розумію від слова зовсім.",5100824242
8,907751,2024-01-01,"Люди по-своєму переживають тривожність. Я завжди виливаю сарказм і позитив, люди різні. Ми діти, так.",399218378
9,907479,2024-01-01,"А чого над Полтавською не збивають 
А чого над Вінницькою 
Боже-боже, я ригаю",399218378
9,907486,2024-01-01,"То був сарказм, не треба мені клоунів)",399218378
10,903403,2023-12-31,То твоя совесть,1628478630
10,903410,2023-12-31,Яка совість?) про що ти?),399218378
10,903412,2023-12-31,Сарказм,1628478630
11,903267,2023-12-31,Що так дрібно... Можна відразу у Богдана Хмельницького 😂,5124409536
11,903269,2023-12-31,Що ?,1119893144
11,903287,2023-12-31,,5124409536
12,900332,2023-12-30,ой брешуть ті планшети. от труха чи байрактар ото  правда,5554053401
12,900339,2023-12-30,Ти йобнутий чи шо?з яких пір сука віраж підводить?йди служить і не пизи харашо?,951845177
12,900350,2023-12-30,"Та то явно сарказм був,Валік..",293379507
13,899603,2023-12-30,"Крабік, привіт)",735238167
13,899604,2023-12-30,Ти ще живий? Привіт 🙋‍♂️,2102977258
13,899606,2023-12-30,Сарказм),2102977258
14,890414,2023-12-29,"якби летіли ракети, відбою не було)",552540423
14,890417,2023-12-29,А ты знаешь толк в этом,1138785088
14,890422,2023-12-29,,552540423
15,889644,2023-12-29,"В десні не всіх залишають, там тільки самі толкові, або пісарі",5806821833
15,889651,2023-12-29,Да да канєшно блять роскажи мені 😂😂😂я що Десну не знаю чи шо😂😂в кого не спитай там як служиться!всі кажуть тікай звідти!,951845177
15,889653,2023-12-29,Ты не умеешь в сарказм просто,1138785088
16,888387,2023-12-28,"Та її не 15, це дитинка люди",5652969417
16,888480,2023-12-28,"Та ну. Моїй 8, але вона не буде такі питання ставити. Може це дитина з інклюзією?",5110328924
16,888488,2023-12-28,"Може, але краще її не тролити, вона не розуміє іронію чи сарказм",5652969417
17,885721,2023-12-28,"Я бачу, що ви тут, я теж тут, всі тут. Це було саркастичне висловлювання, яке адресувалось не вам. Тому, чіл, готуйся до ""веселої"" нічки",452059463
17,885727,2023-12-28,"Там було моє ім'я. І неважливо кому воно адресувалося. Майте сміливість писати тій людині, про яку говорите.",467404836
17,885750,2023-12-28,"І що, що там було ваше ім'я ? Вас таке відчуття, розумні думки переслідують, але ви швидші. Ще раз повторюю, я відповідав із сарказмом іншому, як ви уявляєте відповідь іншій людині, при цьому, відповідаючи вам ?",452059463
18,880860,2023-12-26,"Всі такі експерти, що я в шоці, прям як я😅",467404836
18,880861,2023-12-26,"Це ж чат, люди просто спілкуються...",519050128
18,880864,2023-12-26,Так а я що? То сарказм,467404836
19,876477,2023-12-25,"То  F-16 ще не прилетіли, а їх вже « унічтожілі і посєклі»?",411266892
