ConvThread,MessageID,Date,Message,UserID
0,202690,2024-02-11,"гм) то це треба було бити ""дзеркала"" тому, хто побив))",42676890
0,202692,2024-02-11,"Так він п'яний був, тому і єбашив що бачив",831567296
0,202693,2024-02-11,"гуд) треба ще більше алкашки та цигарок всюди)
* сарказм *",42676890
1,202171,2024-02-08,"Хуй.
Будеш хуй?",285573317
1,202193,2024-02-09,Долбоеб или где?,5409506108
1,202210,2024-02-09,Це був сарказм?,285573317
2,188903,2023-12-23,"Молодець, якщо ти щось можеш, це не означає, що це можуть інші, шукай і далі зрадників серед російськомовних, це ж так допомагає країні у часи війні🙄",870808323
2,188932,2023-12-23,"Обісрав російськомовного = перемога виходить,цікаво",1647510757
2,188936,2023-12-23,Звідки такі думки? Я взагалі-то із сарказмом це написав,870808323
3,178101,2023-11-06,,244689812
4,177942,2023-11-06,,347000809
5,169172,2023-10-02,на якусь пуйню донати витратили🤯,490658200
5,169178,2023-10-02,"Взагалі не витратили, 3d принтер може будь-яку модель віддрукувати, навіть ваше обличчя туди приклеїти.",1651189392
5,169180,2023-10-02,"ну по перше то був сарказм, а по друге один принтер таку штуку буде довго друкувати і матеріал грошей коштує енівей",490658200
6,168236,2023-09-27,"""Розсікає вечорами Кавасакі. Знаєш нащо взяв? Щоб малу твою пограти. Два рази катну і наївну кидану. Хочеш так само? Ща тобі розкажу..."" - Це сексистське лайно. Навіть коли нібито хочуть зобразити якогось фраєра.... Фу вся пісня. Невдала. Хіба приспів норм...",926674267
6,168237,2023-09-27,Саме так… підтримую вас в цьому. Автор мудак в сучасному світ так не можна роботи.,102221445
6,168239,2023-09-27,"Тіп, твій сарказм такий собі",62321603
7,162757,2023-09-16,"Ваш "" сарказм "" недоречний. Я думаю якби на вас б подрочили б або почали б домагатися,ви б не говорили "" сарказмом"" .",671232657
8,157446,2023-08-28,"Вийшов до надприбутку, респект таким бізнесменам (сарказм)",391600870
9,151921,2023-08-05,"зроз, типовий ""пгавий"" націоналіст

іди в окопах мри, це ж так ефективно",1240032446
9,151924,2023-08-05,"це пише мразота с такою авою. В принципі нічого дивного, ніхто не бажає смерті зсу більше ніж вкраїнчики с байрактором головного мозгу",519550533
9,151927,2023-08-05,">пишеш неприкритий сарказм, щоб показати тупість логіки
>опонент сприймає за образу",1240032446
10,151075,2023-08-01,"замість піднімати штрафи? 🤡

якщо кожного мудака, який викидає окурки, обгортки та різне сміття посеред дороги, а не в смітник, штрафувати на половину з-п —
одразу вирішиться проблема зі сміттям, яке вітер переганяє туди-сюди..

плюс поставити більше смітничків навколо,
і штрафувати тих комунальників, які з-п отримують, а роботу свою не виконують —
окремі смітнички можуть тижнями стояти переповнені..

те саме і з російською музикою, матюками,
паркуванням автівок на газонах, велодоріжках та пішохідних переходах,
газування на червоне - збиваючи пішоходів на переході, яким зелене, тощо

потрібні великі штрафи та невідворотність сплачування цих штрафів",42676890
10,151127,2023-08-01,Які правильні слова в чатіку під постіком. Ви вже подали ініціативу в міськраду? Або може одразу в патрульну поліцію влаштуєтесь?,331271493
10,151132,2023-08-01,"дякую за ваш сарказм)
ви мені ще річку глибоку запропонуйте пошукати))",42676890
11,146356,2023-07-13,,605213892
11,146359,2023-07-13,http://sum.in.ua/s/sarkazm,97689446
11,146360,2023-07-13,Дуже неочевидний сарказм,605213892
12,146352,2023-07-13,"Це називається ""фіра"". Яка ""підвода"" 🙄",97689446
12,146356,2023-07-13,,605213892
12,146359,2023-07-13,http://sum.in.ua/s/sarkazm,97689446
13,146230,2023-07-13,"Ну мені було цікаво що воно, бо я тільки бачив сольових, зайшов, почитав - зрозумів що то пезда, і я не фул дегрод)
Думаю то сарказм все таки на початку)",983456108
14,132450,2023-05-21,"Молодець, розв'язав наміри тупого стада, такий інтелектуал, фрі тхінкер, не такий як всі, кукловод, ігрок, інсайдер..Людьми так легко маніпутювати. 😈",926964680
14,132470,2023-05-21,"Ви намагаєтеся видати свої думки за мої, цього не варто робити.

Я лише показав, що хоч полюси і нібито різні, а діють майже однаково, звинувачуючи одне одного в одних і тих самих речах.",534095546
