ConvThread,MessageID,Date,Message,UserID
0,5778333,2024-01-10,"Це сарказм, пане Сергію)",5967289519
1,5778287,2024-01-10,Готуємо новий майдан? Стерненка в президенти! (ЦЕ САРКАЗМ ЛЮДИИИИ),5967289519
2,5776203,2024-01-10,Овва!!!! Знов Зеленський винен!,747759042
2,5776318,2024-01-10,наврядчи пан Зеленський поновив в посаді громадянина рефе,1324707942
2,5776329,2024-01-10,тож сарказм був,747759042
3,5775814,2024-01-10,"Може! корупція зашкалює. Там навіть СПГ нема на нулі. Позицій багато. Комусь допомагають волонтери, а такі як рота мого чоловіка сидять в окопі лише з калашем і лопатою",5526445578
3,5775826,2024-01-10,"О, вже лопата з'явилась. А то був лиш калаш",2033312956
3,5775855,2024-01-10,"На жаль, ваш сарказм не доречний, бо є позиції, де лише калаші і гранати (ручні), а ще є кулемет.  Це сумно. але ми всі розуміємо, що наявного озброєння не вистачає (дронів теж), щоб забезпечити всі підрозділи.",1760310371
4,5773602,2024-01-09,"Найважливіше в розслідуванні : ""не вийти самому, на себе"" 😬... ( хто не зрозумів, це був сарказм) Немає одним словом , чому дивуватись...",6333996912
5,5771845,2024-01-09,До чого це 🤷‍♂️,6393418989
5,5771846,2024-01-09,Він завжди говорить що замерзаючий запад 😂,441725343
5,5771852,2024-01-09,То сарказм😁,6393418989
6,5771489,2024-01-09,це сарказм 🗿,6637449613
7,5770381,2024-01-09,"Слава богу, что мы живем в россии, а не в америке.",971202102
7,5770387,2024-01-09,Костя ти чіїх будеш??,545788303
7,5770445,2024-01-09,"Напевно, все ж таки не кацапом. Тому що мій коментар трохи схожий на сарказм.",971202102
8,5769812,2024-01-09,А хто підписував ці контракти в першу чергу ? Тим що - як завжди все з рук зійде ?,5234319387
8,5769817,2024-01-09,А як ти колишнього мiнiстоа оборони знайдеш? Вiн же за кордоном наче. Припинили красти i то добре.,259872964
8,5769827,2024-01-09,"Я як громадянина сама маю його шукати? Чи це був сарказм? Ще є не тільки міністр , ще є ціла вертикаль гнила яка це пропустила !",5234319387
9,5768461,2024-01-09,А відео буде?,5076400167
9,5768467,2024-01-09,"Станіслав Жуков, щиро вибачаємось за те що не надали вам належне відео знищення російської техніки. Я взяв ваш номер від тепер я буду одразу вам надсилати відео як тільки ми щось знищимо. Вибачте за спричинені нами неприємності",1418411484
9,5768474,2024-01-09,"До чого цей сарказм? Вчора теж скинули хоч, і не одразу, відео знищення танку в Кринках. Акумулюйте свою злість на орків, а не на мене.",5076400167
10,5761946,2024-01-08,"Тепер вже насрати хто кращий. Питання в тому хто виживе, ми або вони (без сарказму).",920751129
11,5755820,2024-01-07,"док у порівнянні з ним це просто гігант думки та геній, без сарказму 🤣",6637449613
12,5749301,2024-01-06,Ви не знаете що таке як сарказм і жарт чи ні ?,2119719541
12,5749324,2024-01-06,Так поставили пам'ятник чи це був жарт? Я походу занадто серйозно поставився до мема,616627522
12,5749329,2024-01-06,Це блять мем сарказм жарт альйо прийом.,2119719541
13,5749284,2024-01-06,🗿,2119719541
13,5749295,2024-01-06,Ну причому тут пам'ятник,616627522
13,5749301,2024-01-06,Ви не знаете що таке як сарказм і жарт чи ні ?,2119719541
14,5747403,2024-01-06,,1068494199
14,5747407,2024-01-06,"Зрозуміло, будемо мовою стріляти👍",5219525287
14,5747417,2024-01-06,"До чого тут Ваш сарказм?
У цьому чаті є правила.
Або дотримуйтесь, або бан.
Зі стрільбою нічого спільного.",1068494199
15,5741758,2024-01-05,А ШО МОЖНА БУЛО ТАК ДИВІТЬСЯ Я ВАЖЛИВІШИЙ ВАС ВСИХ !!!!,553867916
15,5741778,2024-01-05,,6637449613
15,5741791,2024-01-05,сарказм же,553867916
16,5740844,2024-01-05,Вот урод цей подонок,99396224
16,5741214,2024-01-05,@andrewkrvts,6210735611
16,5741218,2024-01-05,то кривий сарказм,6637449613
17,5740467,2024-01-05,"Якщо по факту то ракетні програми с че закрив порох, а про шашлики  дуже тяжкий злочин, навіть тяжкий за котли, ілловайк, випуск гіркіна з під словянсяка, дань русні під час  війни  щоб не бомбили заводи рошен. Бо це ж  шашлики в травні  зеленського.",5171835928
17,5740495,2024-01-05,"З шашликами він натупив, мабуть у них самих паніка була, але, як сказати 40млн що завтра війна? Що робити з хаосом який почнеться після цих слів? Хаос в середині - це те, на що кацапи розраховували. Легко обсирати тих хто приймає доленосні рішення. Постав себе на його місце, що ти б зробив?",1146037141
17,5740509,2024-01-05,"Це відповідь на пост що був раніше, відповіть з сарказмом",5171835928
18,5736910,2024-01-05,Яка кличка...він же не пес патрон а спікер Єрмака. Так що з повагою будь ласка!!!,413858382
18,5736945,2024-01-05,Не так висловилася вибачаюсь. До президента ставлюся з повагою,6877507555
18,5736974,2024-01-05,"То був такий собі злободенний сарказм, нажаль",413858382
19,5734365,2024-01-05,"Фу який хуй, я вважаю ваджаіна крутіша ніж хуй",5907897641
19,5734372,2024-01-05,Не сарказм,5907897641
20,5729043,2024-01-04,В кожного свій сарказм,5102951821
21,5728824,2024-01-04,,5760869533
21,5728827,2024-01-04,Автора не знаю но люблю це відео,5102951821
21,5728831,2024-01-04,Свій сарказм,5102951821
22,5727655,2024-01-04,"Зараз зима дороги та бруківку не кладуть,є варіант зимовий(зупинки)хочеш добре жити,вмій крутитись🫣(сарказм)",734932242
23,5727083,2024-01-04,"Я ж написав що ""підорів"". Ви явно нез них)",1977425262
23,5727102,2024-01-04,"Іноді здається просто що смерті бажають нам... все таки важко, коли поруч немає ""своїх"" точніше їх потрібно шукати. Питань немає. Хай все буде добре.",1036747365
