ConvThread,MessageID,Date,Message,UserID
0,5366011,2024-02-18,"/бан за просування р0снявих зеківських норативів.
Йди Росію 24 дивись, москаль. Тут чат пиздолизів",1939401098
0,5366017,2024-02-18,"Адмін визнає право московитів на слово Русь, якщо він вживає слово ""рОсня""?",5219675210
0,5366025,2024-02-18,Я визнаю право вбитись нахуй об стіну дегенератам які не викупають очевидного сарказму.,1939401098
1,5365226,2024-02-18,"Галичина, буковина, волинь та карпати без сарказму найкращі регіони України, де проживають найкращі люди з найчистішою кровʼю, а напівжидва і напівкацапи нехай йдуть пропердяться, а не хуйню ригають на святий захід
чим далі на схід, то тим гірше бидло, не дарма така приказака існує)",1959677788
2,5365042,2024-02-18,"Ебаните дебилу бан, сарказм для пидарасов",6271889657
3,5363002,2024-02-17,"Тим, що публікую лише офіційні заяви від 3 ОШБ, а не пишу тут, що ""половина вмерла, половина в полон""
Хороните живих. Ахуєнно",846331450
3,5363009,2024-02-17,"Це був сарказм на відповідь даунші якоїсь, це настільки очевидно, що дивно пояснювати",427871228
3,5363013,2024-02-17,"Дуже некоректний сарказм, тим більше що у ""даунші"" зараз на тому напрямку дядько воює.",846331450
4,5362993,2024-02-17,Чим ти від них відрізняєшся?,427871228
4,5363002,2024-02-17,"Тим, що публікую лише офіційні заяви від 3 ОШБ, а не пишу тут, що ""половина вмерла, половина в полон""
Хороните живих. Ахуєнно",846331450
4,5363009,2024-02-17,"Це був сарказм на відповідь даунші якоїсь, це настільки очевидно, що дивно пояснювати",427871228
5,5360879,2024-02-16,для одноклассника ничего не жалко 🤗)),1769238157
5,5360881,2024-02-16,Спасибо💋Люблю❤️Обнимаю🤗,1084912736
5,5360883,2024-02-16,без сарказма скажи,1769238157
6,5343808,2024-02-10,З чим справляється? Боневтік? Це все?,908562265
6,5343818,2024-02-10,"Гітлер не втік з Берліну, Зеленський не втік з Києва. 
Думайте 


(Це рофл. Я не ставлю знак = між найвеличнішою фігурою 20 сторіччя і корумпованим популістом)",1239136688
6,5343839,2024-02-10,Я розумію що це сарказм. Як на мене навіть такий вектор порівняння не правильний,908562265
7,5302427,2024-01-29,Сприймай сарказм,1734411484
8,5281353,2024-01-23,"Можеш опублікувати це відео: https://youtu.be/hgLJDHcas3c?si=y1tU5BiP8lLXZIcH. Бо вкраїнчики стерненка та поліну дрочілкіну надивляться і херню потім пишуть. З маніпуляціями, прослухав рос пісню, купив кулю. І тому подібне",1198635376
8,5281363,2024-01-23,"Насправді послухав рос пісню = відсосав хуй, але це тільки якщо ти пижишся і захищаєш цю хуйню і своє право бути дегенератом",661716372
8,5281366,2024-01-23,"https://youtu.be/lV9q901vS6o?si=n_NCEU0OQUlQOddw
Послухай цю пісню і скажи, що ти не відсосав хуй",6783237187
9,5279496,2024-01-22,Сербы попали  в современную Сербию с территории современной Украины (наверное поэтому так любят Россию - сарказм).,1300447522
10,5233770,2024-01-11,"Аноніма туди додали без його згоди, я впевнений, що він ніколи не вживав наркотичні речовини",6318506356
10,5233771,2024-01-11,Да да так і було 💅,703939659
10,5233774,2024-01-11,Ваше повідомлення схоже на сарказм,6318506356
11,5224857,2024-01-09,"джо байден? як так, я думав він нам перемогу допомагає здобути, надійний союзник і партнер",960354616
11,5224862,2024-01-09,Я навіть не здивований. Конспірологія про зв'язки американських президентів з організаціями педофілів існує з минулого століття,718113800
11,5224864,2024-01-09,я вивалив сарказм,960354616
12,5219943,2024-01-08,"Не так. Ты в Румынии 3 месяца, а я в Словакии 2 дня 

По статусу Словакия > Румынии 

Поэтому извини но дебил это ты",5449653957
12,5219961,2024-01-08,"Ти не в'їхав,я тебе не ображав,то був приклад для уявних челів😂😂😂",1573047497
12,5219967,2024-01-08,Та я понял что то был сарказм),5449653957
13,5213761,2024-01-07,Ти суча помилка аборту. Де нахуй я спростовував щось подібне? Я тобі конкретно за писанину твою пишу. Сука відкрий очі довбойоб ти перейобаний і перечитай мої коменти чохол для хуїв,1286552027
13,5213765,2024-01-07,"Піздц, чмоніме порване, ти порвався від саркастичного коментарю, але довбойоб я😏",535289076
