,is_sarcastic,text,source
0,1,графіки виживання тритонів і піраміди смертності білана капустяного такі цікааааві!,Twitter
1,1,@lovemyself_not оні ти мене заблокуєш я люблю каєбед вони мій фав пейрінг😞,Twitter
2,1,@k1207h03 я броньована бля😎,Twitter
3,1,"мене не добавляють у різні списочки по типу ""гівножуйки"" я не хот🥹",Twitter
4,1,@sorixben можу стати 😇,Twitter
5,1,"НІХУЯ ОЦЕ ТАК
Я ЗАРАЗ ЗАПЛАЧУ ВІД РАДОЩІВ
МЕНЕ РОЗБАНИЛИ ЧЕРЕЗ ДЕСЬ ТРИ МІСЯЦІ 
ТА ВАЩЕ ЖЕСТЬ",Twitter
6,1,"А можна я пройду скорочену програму,а не бігати по отому всьому з супер ахуєнною командою і мільярдною шкодою?",Twitter
7,1,"@PatrolStag Угу. То в нього такий хитрий план був (Зібрати все лайно у ВР), а потім по-македонськи... ",Twitter
8,1,"@kalinizaurus ""Бігом закопуй поки активісти-історики не набігли"" ",Twitter
9,1,Бож наші БОГИ смішнявок сьогодні дуж круто шуткували,Twitter
10,1,@taka_pivnyk почитала і все одразу зрозуміло стало:),Twitter
11,1,Наш фізик просто ахуєнний люблю його☺️☺️☺️,Twitter
12,1,"@AngryEwok1138 Ну знаєте, усілякі подібні думки притаманні ТІЛЬКИ лібералам! ",Twitter
13,1,"@bioravlyk Ви що, забороняєте жінкам народжувати???? Сексистка! ",Twitter
14,1,"Аааа... каєф просто
Обожнюю своїх одногрупників за ігнор 
Просто супер

",Twitter
15,1,"Мммм, супер
Вирубали світло у гуртожитку
Прекрасно
Люблю таке
👍

",Twitter
16,1,"Це ще один твіт в якому я пишу як я ненавижду свою англічанку.Мала прийти на 10 год,канєшно, що вона так і прийшла.",Twitter
17,1,"Роблю інгліш з мед хедс. #np med heads xl - п'ятниця .Канєшно, що я вивчу інгліш.",Twitter
18,1,"@OTorvaldBand а ну так, де вам до бібера, ви ще не доросли лол ",Twitter
19,1,вміють же люди підняти настрій....,Twitter
20,1,"Просто якщо зірветься, сидячи більше шансів вижити. Завжди так роблю )",Twitter
21,1,"От нащо ти нагнітаєш? Через місяць же заплановано нове віче! Зараз Зеленський від страху місяць спати не буде. А коли потім 21 листопада збереться віче - це стане останньою крапкою, і він одразу втече в Ростов. А ми заведемо війська назад на позиції, і підемо в НАТО. Все чудово!",Twitter
22,1,"Вони ж в ""тюрмі народів"", розумієте? Їм треба допомогти! А потім одразу нашим морякам та іншим захопленим в заручники!",Twitter
23,1,"Порохоботи тут є?!?! Портнова ОХОРОНЯЄ поліція, поки той вільно пересувається Україною!!! За це стояв Майдан???!! Що скажете на це, порохоботи? Чи ваш барига тут знов ні до чого? А? А?",Twitter
24,1,"Так це ж цілком нормально - вкласти кудись тисячу доларів, наприклад, а потім вкрасти звідти 50. Хіба ні? Хм...",Twitter
