,ConvThread,MessageID,date,UserID,Channel,source,text,is_sarcastic
0,3.0,118343,2023-12-04,375240228,blackhumor - blackhumor.csv,Telegram,"До кого ще не міжна дойобуватись? До пенсів і вагітних дітей? Бодіпозитивних і анорексичок? Військових і калек?
Видаляємо нахєр групу, який нафуй чорний гумор.",1
1,17.0,102809,2023-10-15,994711265,blackhumor - blackhumor.csv,Telegram,"На такі зауваження тобі завжди скажуть, що нам не треба бути меншовартісними і зважати на те, що там скаже русня і трампони і тобі треба б було вже трохи подорослішати🤷",1
2,19.0,99482,2023-10-02,300592003,blackhumor - blackhumor.csv,Telegram,"Ага, а до цього вочевидь вона весь час тримала в руці москальського пісюна - через те й всі негаразди",1
3,20.0,99197,2023-10-01,922475967,blackhumor - blackhumor.csv,Telegram,"""Вузькохромосомна істота"", так-то",1
4,42.0,29987,2023-01-13,407810838,blackhumor - blackhumor.csv,Telegram,"Не докопуйся до грузинів, що воюють за Україну. Не прирівнюйся до їхньої проросійської влади.",1
5,44.0,27825,2023-01-02,5287756173,blackhumor - blackhumor.csv,Telegram,"Та отож , я вже починаю сумніватися у теорії рептилоїдів :+!",1
6,47.0,24515,2022-12-09,1765136778,blackhumor - blackhumor.csv,Telegram,"Ні, так просто не буде! Це не про однакову віру, а де інші гендери? Навіть меми і ті зробити нормально, не ображаючи чиїхось почуттів, не можуть",1
7,8.0,708087,2024-01-04,411452861,D7 - D7.csv,Telegram,"Значить, як треба робити роботу по дому, реальний випадок
Запустив прання
Запустив посудомийку
Запустив мультиварку
Запустив аерогріль
Запустив робот пилесос
Втомився від домашньої роботи, ліг на диван відпочивати",1
8,34.0,684866,2023-12-12,114692500,D7 - D7.csv,Telegram,"Це все ухилянти, їх потрібно мобілізувати та на фронт",1
9,35.0,684737,2023-12-11,5286675988,D7 - D7.csv,Telegram,"Нічо, наступне літо виправить ситуацію",1
10,45.0,670301,2023-11-27,215172099,D7 - D7.csv,Telegram,та звертайся. там і розкажуть як ні чого не робити виграти війну. і як авіаносці США будуть захищати нас і т.п.,1
11,58.0,655364,2023-11-13,645340480,D7 - D7.csv,Telegram,"А як же шашлички? 😳 Треба акуратніше їм якось, а то ще паніку посіють і економіка впаде",1
12,118.0,612940,2023-09-21,190944926,D7 - D7.csv,Telegram,"ну он наш меншовартісний міністр поліз сьогодні домовлятися з поляками, замість того, щоб показати їм хто тут головний. Що це за малоєвропейство? Доколє?!",1
13,143.0,572890,2023-08-05,400030819,D7 - D7.csv,Telegram,"гадаю усе це точно буде, ще НЛО до них завітає",1
14,146.0,571638,2023-08-04,5286675988,D7 - D7.csv,Telegram,Так а хіба не Порошенко в усьому винен?,1
15,149.0,567740,2023-07-31,462067578,D7 - D7.csv,Telegram,"І навіщо це писати???
Хочете щоб Кінджал Іскандер прилетів",1
16,157.0,561878,2023-07-25,5208153549,D7 - D7.csv,Telegram,"Ну так, захопить, привезе, а там вбʼє!",1
17,173.0,547673,2023-07-08,1132391594,D7 - D7.csv,Telegram,"це все неважно. людям нада знать, як він голосував у 2019. все інше нас не цікавить!",1
18,176.0,537577,2023-06-28,5208153549,D7 - D7.csv,Telegram,"А навіщо американцям ресурси московитів? Причому «ресурси» не Абрамовича/Дерипаски, а Васі Пупкіна з Мухосранська?",1
19,181.0,531697,2023-06-23,606085606,D7 - D7.csv,Telegram,У мене зп в доларах😂,1
20,185.0,531141,2023-06-23,606085606,D7 - D7.csv,Telegram,А як же втрачені можливості через те що цей наркоман покурив трави і лежить в коматозі? 1!1?!1!1?1?1,1
21,188.0,528956,2023-06-21,663181267,D7 - D7.csv,Telegram,Краса! Давати і давати. І наздоганяти і знову давати🥰,1
22,204.0,515299,2023-06-06,340359958,D7 - D7.csv,Telegram,Час вже в котре настав?,1
23,219.0,508289,2023-05-31,593710657,D7 - D7.csv,Telegram,"так, і поза росією мамойобство не існує",1
24,220.0,508127,2023-05-31,691948063,D7 - D7.csv,Telegram,"Ви що, це ж величезний+ при совку ото життя було, не те що зараз. Зранку снідаєш дефіцитною ковбаскою, а ввечері вже і на міліцейському бобіку катаєшся 😂 Р-романтика, не те що зараз!",1
25,233.0,500649,2023-05-25,388782907,D7 - D7.csv,Telegram,Теж стамбуй?  Давайте 🙃🤷‍♂,1
26,239.0,498845,2023-05-23,5286675988,D7 - D7.csv,Telegram,"Дроти в кольоровій опльотці не менше 2 см в діаметрі і 2к в ціні, інакше звук тіряєцця. І окісляєцця.",1
27,266.0,478955,2023-05-05,392504022,D7 - D7.csv,Telegram,Третій справа рукою поворухнув - нє вєрю,1
28,267.0,477687,2023-05-04,620798133,D7 - D7.csv,Telegram,Дивимося відео де 777 з її колесами мотиляє по нашій грязюці і розуміємо з американців конструктори ті ще,1
29,290.0,455169,2023-03-28,388782907,D7 - D7.csv,Telegram,Ні! Я гружу говно лопатою.  Але робота на свіжому повітрі та завжди нужна 🤷‍♂,1
30,291.0,452674,2023-03-24,284179018,D7 - D7.csv,Telegram,Неочікувано!!!,1
31,292.0,451406,2023-03-23,620798133,D7 - D7.csv,Telegram,не дадуть імпортні а радянські то другоє,1
32,297.0,448648,2023-03-20,985668019,D7 - D7.csv,Telegram,Порох),1
33,301.0,443372,2023-03-08,539065348,D7 - D7.csv,Telegram,це просто у вас жінки нормальної не було,1
34,312.0,431281,2023-02-18,5286675988,D7 - D7.csv,Telegram,І ображати зовнішність🥹,1
35,335.0,421742,2023-02-05,467660602,D7 - D7.csv,Telegram,"Називайте кицею чи сонечком, безпрограшно 😉",1
36,344.0,418698,2023-02-01,539065348,D7 - D7.csv,Telegram,в них принаймі світло є🥹,1
37,345.0,418642,2023-02-01,467660602,D7 - D7.csv,Telegram,"Юля, мало вам 100 тисяч в місяць чи шо?))",1
38,355.0,409813,2023-01-21,5286675988,D7 - D7.csv,Telegram,"А шо це вам так багато, у нас +2 -6😡 От і нічого там прохлаждатися, треба шоб справедливість була☝️",1
39,369.0,403692,2023-01-14,1189545076,D7 - D7.csv,Telegram,"Тю. А стільки шуму було! І це русня так тужилася для того, щоб комусь лобовуху коцнути?",1
40,384.0,393020,2022-12-29,539065348,D7 - D7.csv,Telegram,"до всіх львів‘ян, ви ж такі висновки там зробили під попередніми постами. 
ну, працювати теж комусь потрібно!",1
41,393.0,386390,2022-12-18,539065348,D7 - D7.csv,Telegram,"пан Данілов сказав, шо згоріти має все в кінці кінців з Москвою разом, так шо надіюсь, шо то ми нашаманили, бо хто ми такі, шоб не вірити панові Данілову?",1
42,395.0,384263,2022-12-15,539065348,D7 - D7.csv,Telegram,в них яйця дешеві😭,1
43,402.0,373676,2022-12-01,129867229,D7 - D7.csv,Telegram,"Ну дивіться, не всі росіяни погані насправді.
То хай погані горять,
а хороші можуть і замерзнути",1
44,421.0,365416,2022-11-20,539065348,D7 - D7.csv,Telegram,ви реально ще про це думаєте після розмінування?))),1
45,439.0,357185,2022-11-13,539065348,D7 - D7.csv,Telegram,"напевно, геть подуріли. я спеціально завтрашній день спланувала розгруженим, бо мають же тривоги бути, сповіщення від ДСНС і тому подібне, а тут такі фокуси🤯",1
46,442.0,351356,2022-11-05,539065348,D7 - D7.csv,Telegram,"на пам‘ятнику Каті пише «хуй», але це не означає, що він приносить стільки ж задоволення)))",1
47,446.0,349411,2022-11-01,352763012,D7 - D7.csv,Telegram,І взагалі тризуб прибив криво!,1
48,447.0,349066,2022-11-01,539065348,D7 - D7.csv,Telegram,а ще білорусь окупована територія!!!!,1
49,449.0,344775,2022-10-25,371677448,D7 - D7.csv,Telegram,"А як же те, що бандерівці типу працювали на нацистів? Оце Гебельс так про союзників? Отак взяли і самі спростували один із головних міфів в росіянській пропаганді😂",1
50,457.0,339468,2022-10-18,2092133200,D7 - D7.csv,Telegram,Тількі не треба поспішати щоб не провокувати Росію ! ..блять,1
51,458.0,338973,2022-10-17,540747770,D7 - D7.csv,Telegram,"Білоруський Гаюн клянеться, що ні ))",1
52,461.0,337371,2022-10-15,844627670,D7 - D7.csv,Telegram,"Нахуя платити, оно притула хай ще пару супутників купить",1
53,468.0,332715,2022-10-10,604770384,D7 - D7.csv,Telegram,"звичайно, при пороху б не напав путін. він же його так боявся",1
54,477.0,328542,2022-10-05,1275498002,D7 - D7.csv,Telegram,"Портова ще, до речі, вже можна починати шукати.",1
55,479.0,326108,2022-10-01,507354702,D7 - D7.csv,Telegram,Це там 5000 русаків ховалось? Щось про це ніхто і не згадує. Випустили русню з котла за чиєюсь вказівкою?,1
56,480.0,321642,2022-09-25,328493616,D7 - D7.csv,Telegram,"міг би очолити рейтинг найвеличніших президентів, але він один такий🥲",1
57,495.0,295092,2022-08-15,659089270,D7 - D7.csv,Telegram,"Звісно, легше вчителю довести 30 учнів до сховища, коли в потоці ще 1000 школярів, ніж батькам навчити одну дитину, що треба робити, коли є сигнал тривоги.",1
58,498.0,294000,2022-08-12,539065348,D7 - D7.csv,Telegram,какая разніца?,1
59,526.0,262870,2022-06-29,172056845,D7 - D7.csv,Telegram,"Мені здається, що це норм. Війна все ж таки. І Київ не Львів - в Києві вже були бойові дії. А то потім арєстовічі будуть казати ""проїбали"", а купа народу буде бігати і волати ""яка собака Чонгар розмінувала"". Тому отак мінувати, на жаль, норм, як на мене",1
60,545.0,237776,2022-06-03,437283242,D7 - D7.csv,Telegram,"Пох на своїх дітей, аби в африці норм було 👍",1
61,549.0,234114,2022-05-31,778901299,D7 - D7.csv,Telegram,"Ну зе можуть, так само як і пороху навішати того в чому його заслуги нема. Проте, порохоботи , якщо ним сказати, що це порох чорноьаївку 20 разів обороняв, будутт сліпо вірити",1
62,553.0,230192,2022-05-28,324102773,D7 - D7.csv,Telegram,"Звичайно, прийдеться тоді до расіі",1
63,557.0,225729,2022-05-24,527352411,D7 - D7.csv,Telegram,"народ, а чо ви всі підгоріли? готуйтеся до того що чим далі тим сильніше ми будемо поступатися, і це тільки початок. вангую наступним нарративом буде початок переговорів на кордонах дон. та луг. областей. вони наступають, наша переговірна позиція погіршується, влада поступається, а як ви думали?",1
64,560.0,218181,2022-05-19,530562426,D7 - D7.csv,Telegram,наживається на війні 🤷‍♂️,1
65,587.0,181760,2022-04-23,795878089,D7 - D7.csv,Telegram,"Він би знову примножив свої статки і більге ніж у 82 рази, добре що його не обрали бо він би одразу як сцикло утік",1
66,591.0,169030,2022-04-16,858372317,D7 - D7.csv,Telegram,"За передвиборчою версією зеленої мразоти, їхніх спонсорів і подільників їхніх спонсорів,  що старанно  перетворювали українців на баранів,  війна була вигідна 'баригам'.",1
67,604.0,151326,2022-04-07,383279800,D7 - D7.csv,Telegram,"Такі слов'яни, що пизда просто",1
68,618.0,137565,2022-03-31,695318165,D7 - D7.csv,Telegram,"Ну так, вони бояться казати йому правду саме тому, що він хороший, ага)))",1
69,629.0,124860,2022-03-26,5096212493,D7 - D7.csv,Telegram,"Згоден. Це основне питання!
Якого насправді хуя він не у костюмі, шо за хуйня?!!",1
70,657.0,89561,2022-03-13,265732386,D7 - D7.csv,Telegram,І вулицю вкажіть!😡,1
71,667.0,54264,2022-02-28,227635217,D7 - D7.csv,Telegram,"Ані всє адурманєни прапагандой, лол",1
72,672.0,36025,2022-02-24,432569230,D7 - D7.csv,Telegram,"Не чекав, що вони підуть до кінця війною. Ну що ж, успіхів їм та побільше вантажу 200",1
73,673.0,33564,2022-02-07,128066100,D7 - D7.csv,Telegram,а де пункт сяде порошенко? 😂,1
74,682.0,4542,2021-02-17,593429339,D7 - D7.csv,Telegram,Я кажу просто - я не довіряю нікому хто в щось вірить. Як взгалі можливо видати наприклад в руки зброю людині яка розмовляє з уявними друзями.,1
75,684.0,3958,2021-01-30,152076411,D7 - D7.csv,Telegram,десять балончиків!,1
76,5.0,2205731,2023-12-04,465543543,Drit - Drit.csv,Telegram,"Ну звісно, треба ж було 5му каналу усе віддати, бо саме там усі найталановитіши журналюги, і власник вже ж не олігарх бо відсунули від влади подалі. Обділили найталановитіших та найкращого патріота, неправильних олігархів нагодували. 
Та і взагалі навіщо витрачатися на той контент та на той телевізор - усіяки арестовічи безкоштовно наклепають усілякого лайна у ютубі.😄
А цікаво, автор цього хоч знає скільки рашка витрачає на свою пропаганду, для порівняння? Як би нам не опинитися у повній дупі з таким підходом що нам воно не треба якщо на це треба витрачатися.",1
77,6.0,2205056,2023-12-01,373539395,Drit - Drit.csv,Telegram,Хахахаха про що ти говориш😁😁,1
78,8.0,2201370,2023-11-20,443248482,Drit - Drit.csv,Telegram,"Якщо ми будемо витрачати гроші на армію, то за які гроші ми тоді будемо будувати дороги?",1
79,13.0,2193844,2023-11-08,5702280812,Drit - Drit.csv,Telegram,Україночки найкрасивіші!,1
80,19.0,2186353,2023-10-26,457539917,Drit - Drit.csv,Telegram,Тоді буде ескалація конфлікту і путін може напасти,1
81,30.0,2155228,2023-09-13,353448591,Drit - Drit.csv,Telegram,"А де гендерна рівність? Просто так дивно, як в одну сторону, то вона повинна бути, а як в іншу, то ні).",1
82,31.0,2152790,2023-09-11,391897635,Drit - Drit.csv,Telegram,Ти звідки такий економіст політолог взявся?) геніально чорт його бери,1
83,33.0,2149641,2023-09-07,493278555,Drit - Drit.csv,Telegram,"Ну ці, хохлушки коротше! Теж нормальне слово",1
84,36.0,2142421,2023-08-30,291058588,Drit - Drit.csv,Telegram,"Шо синк) по-перше - цикли потепління й похолодання були на Землі задовго до того, як люди зрозуміли, шо таке вугілля. Так що тут можна включити фаталізм, бо все round and round і нічого ти не зміниш. А по-друге - єдиний варіант не впливати на середовище - це померти. І то не факт, що твоєю кісткою не вдавиться якийсь вовчисько (не саме твоєю, а взагалі). Шось людовиська не хочуть свідомо вимирати, щоб сприяти ентропії Всесвіту. Та і я не хочу) Рано чи пізно Сонце йобне, так шо можна палити кондиціонер, все одно весь світ буде палати. бггггг",1
85,40.0,2140261,2023-08-29,373539395,Drit - Drit.csv,Telegram,"Файно, купив новий матрац з бавовни зібраної чурками майбутніми чорножопими гастарбайтерами, і тішусь шо в них море висохло",1
86,41.0,2139841,2023-08-29,5143509304,Drit - Drit.csv,Telegram,"Ну тепер ми всі знаємо, чим закінчилась ця історія. Хто ж міг знати, що вільні люди вільної країни почнуть качати права.",1
87,46.0,2126509,2023-08-10,118705534,Drit - Drit.csv,Telegram,"Пояснити можна все що завгодно, а ще можна користуватись common sense при перекладі. 

Чому б тоді не перекласти Baldur - ""принц"" ісландською?  ""Принцова Брама"" - норм звучить:)",1
88,51.0,2108187,2023-07-17,702171833,Drit - Drit.csv,Telegram,"царь хороший, а бояри хуйові виходить)",1
89,60.0,2089657,2023-06-24,448831841,Drit - Drit.csv,Telegram,"Так, в армії і кучерявий 🤣",1
90,61.0,2088887,2023-06-24,520378200,Drit - Drit.csv,Telegram,Що саме? Криву сприйняття висміювання руснявих Zaгонів ?)),1
