,text,llm,prompting
0,"Ой, так, тому що російські війська абсолютно відомі своїм дотриманням міжнародного гуманітарного права та захистом цивільних.",gemini,fewshot
1,"Я впевнений, що анексія української території піде так само гладко, як і в Криму. Що може піти не так?",gemini,fewshot
2,"Російська економіка процвітає під санкціями. Нічого, крім процвітання та економічного зростання.",gemini,fewshot
3,"О, так, \'спеціальна військова операція\' йде точно за планом. Все під контролем.",gemini,fewshot
4,"Російські ЗМІ такі ж об'єктивні та неупереджені, як і завжди.",gemini,fewshot
5,"Я не можу дочекатися, щоб побачити наступний шедевр російської пропаганди. Я впевнений, що він буде таким же переконливим, як і попередній.",gemini,fewshot
6,"Звичайно, Путін - маяк демократії та свободи слова.",gemini,fewshot
7,Опозиція в Росії процвітає та має повну свободу висловлювати свої думки.,gemini,fewshot
8,Російські вибори є зразком чесності та прозорості.,gemini,fewshot
9,"Я впевнений, що всі ці незалежні журналісти та активісти, які \'випадково\' випадають з вікон або отруюються, просто дуже незграбні.",gemini,fewshot
10,"Російська культура така багата та різноманітна, особливо після знищення всіх інших культур.",gemini,fewshot
11,Російський народ так єдиний у своїй підтримці війни.,gemini,fewshot
12,"Я впевнений, що всі ці протестувальники просто купка оплачених західних агентів.",gemini,fewshot
13,Росія ніколи нікого не вторгалась. Це все просто захист своїх інтересів.,gemini,fewshot
14,Російська армія - найсильніша у світі. Просто запитайте у них.,gemini,fewshot
15,"Я не можу дочекатися наступного захоплюючого виступу Путіна. Я впевнений, що він буде повний правди та логіки.",gemini,fewshot
16,Росія - справжній захисник традиційних цінностей.,gemini,fewshot
17,"Звичайно, анексія Криму була абсолютно законною та демократичною.",gemini,fewshot
18,Росія завжди поважає суверенітет інших країн.,gemini,fewshot
19,"Війна в Україні - це просто міф, створений Заходом.",gemini,fewshot
20,"Російські солдати - визволителі, які прийшли в Україну, щоб захистити її народ від нацистів.",gemini,fewshot
21,Російські хакери - найкращі у світі. Вони можуть зламати будь-що.,gemini,fewshot
22,"Я впевнений, що всі ці докази російських військових злочинів - просто фейки.",gemini,fewshot
23,Росія ніколи не використовувала хімічну зброю.,gemini,fewshot
24,"Росія - мирна країна, яка ніколи нікому не погрожувала.",gemini,fewshot
25,"Я впевнений, що Путін піде на пенсію та буде жити довго і щасливо.",gemini,fewshot
26,Росія - справжній друг Китаю.,gemini,fewshot
27,Росія - лідер у боротьбі зі зміною клімату.,gemini,fewshot
28,Російська освіта - найкраща у світі.,gemini,fewshot
29,Російська медицина - на найвищому рівні.,gemini,fewshot
30,Російські дороги - найгладкіші та найбезпечніші.,gemini,fewshot
31,Російські міста - найчистіші та найзеленіші.,gemini,fewshot
32,Російська їжа - найсмачніша та найздоровіша.,gemini,fewshot
